# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1310001003143,長崎グラバー食品株式会社,,長崎県,長崎市,長崎県長崎市畝刈町１６１３番地１０１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310001003390,株式会社横川木型製作所,ヨコガワキガタセイサクショ,長崎県,長崎市,長崎県長崎市琴海戸根町２６９４番地２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-03
1310001003779,株式会社桑宮製作所,クワミヤセイサクショ,長崎県,長崎市,長崎県長崎市川原町２９７番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1310001004455,長崎榮食品株式会社,,長崎県,長崎市,長崎県長崎市矢の平２丁目１３番２４号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310001006749,株式会社宇久食品,,長崎県,佐世保市,長崎県佐世保市宇久町平９５０番地の１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-03-28
1310001006889,株式会社松島電機製作所,,長崎県,佐世保市,長崎県佐世保市白岳町５０番地４,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-17
1310001008217,株式会社レイメイ製作所,レイメイセイサクショ,長崎県,諫早市,長崎県諫早市貝津町１８３０番地４６,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-20
1310001008885,株式会社林田金属,ハヤシダキンゾク,長崎県,諫早市,長崎県諫早市貝津町１２０４番地３８,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-11
1310001013258,佐世保エスディー食品株式会社,,長崎県,佐世保市,長崎県佐世保市若葉町１８番１４号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310001019354,高山金属株式会社,タカヤマキンゾク,長崎県,西海市,長崎県西海市西海町七釜郷６３３番地２７,manufacturing,manufacturing,2024-12-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-05
1310002000024,有限会社愛交車体整備工場,アイコウシャタイセイビコウジョウ,長崎県,長崎市,長崎県長崎市富士見町２０番３号,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-10
1310002001055,有限会社折田建具製作所,,長崎県,西彼杵郡時津町,長崎県西彼杵郡時津町左底郷４１番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310002001328,有限会社九州ネームプレート製作所,キュウシュウネームプレートセイサクショ,長崎県,長崎市,長崎県長崎市東山手町６番４１号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-27
1310002001534,有限会社草場製麵工場,,長崎県,長崎市,長崎県長崎市築町１番１５号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-10-06
1310002002053,有限会社三進自動車整備工場,サンシンジドウシャセイビゴウジョウ,長崎県,長崎市,長崎県長崎市布巻町９３４番地２,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-28
1310002002318,下町食品有限会社,シタマチショクヒン,長崎県,長崎市,長崎県長崎市田上３丁目１７０番地６,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-03
