# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9010401097469,株式会社あいず,,長崎県,佐世保市,長崎県佐世保市相生町２番３５号,other,care,2015-10-05,false,208,,,,0956379234,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6310001016090,株式会社樫本電気,カシモトデンキ,長崎県,長崎市,長崎県長崎市琴海戸根町３１００番地１,other,care,2019-05-14,false,,,,,090-3713-0422,,,国税庁 法人番号公表サイト,2019-05-17
7310001012774,株式会社ハイジ,ハイジ,長崎県,長崎市,長崎県長崎市大浦町１番３３－１００７号,other,care,2015-10-05,false,,,,,095－807－6976,,,国税庁 法人番号公表サイト,2024-11-15
4310001004031,株式会社わかば,ワカバ,長崎県,長崎市,長崎県長崎市向町７９１番地,other,care,2015-10-05,false,,,,,095-841-2468,,,国税庁 法人番号公表サイト,2026-04-23
5310001013188,株式会社ダルクオレ,ダルクオレ,長崎県,長崎市,長崎県長崎市田中町７９番地６５,other,care,2015-10-05,false,,,,,095-894-9876,,,国税庁 法人番号公表サイト,2020-09-03
8310002007500,有限会社やました笑会,,長崎県,長崎市,長崎県長崎市鳴見台２丁目１８番１２号,other,care,2015-10-05,false,,,,,095-850-0779,,,国税庁 法人番号公表サイト,2015-11-27
9310003004116,花信風合同会社,カシンフウ,長崎県,長崎市,長崎県長崎市つつじが丘５丁目５番１３号,other,care,2021-07-16,false,,,,,0958947113,,,国税庁 法人番号公表サイト,2021-07-16
5310003004565,合同会社Ｆａｍｉｌｙ,ファミリー,長崎県,長崎市,長崎県長崎市豊洋台２丁目１７番４号,other,care,2023-05-10,false,,,,,095-807-0793,,,国税庁 法人番号公表サイト,2023-05-10
3310003004666,合同会社宙ＳＯＲＡ,,長崎県,長崎市,長崎県長崎市界２丁目７－９,other,care,2023-10-26,false,,,,,095-894-7893,,,国税庁 法人番号公表サイト,2023-12-04
8310005004560,公益社団法人長崎県看護協会,ナガサキケンカンゴキョウカイ,長崎県,諫早市,長崎県諫早市永昌町２３番６号,other,care,2015-10-05,false,,,,http://www.nagasaki-nurse.or.jp,0957498050,,http://www.nagasaki-nurse.or.jp/page-information.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
