# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4100005001211,長野県厚生農業協同組合連合会,ナガノケンコウセイ,長野県,長野市,長野県長野市大字南長野北石堂町１１７７番地３,agriculture,care|agriculture,2015-10-05,false,9331,,,https://www.nagano-kouseiren.jp/,0267-82-3131,,https://www.nagano-kouseiren.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8100005007337,大北農業協同組合,ダイホク,長野県,大町市,長野県大町市大町字光明寺３０９１番地の１,agriculture,care|agriculture,2015-10-05,false,355,,,http://www.ja-daihoku.iijan.or.jp,0261-22-1840,,https://www.ja-daihoku.iijan.or.jp/otoiawase,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8100005006306,あづみ農業協同組合,アヅミ,長野県,安曇野市,長野県安曇野市豊科４２７０番地６,agriculture,care|agriculture,2015-10-05,false,301,,,http://www.ja-azm.iijan.or.jp/,0570-023-831,,https://www.ja-azm.iijan.or.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4100005007695,木曽農業協同組合,キソ,長野県,木曽郡木曽町,長野県木曽郡木曽町福島２８００番地,agriculture,care|agriculture,2015-10-05,false,160,,,,0264-21-2113,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6100005006803,洗馬農業協同組合,セバ,長野県,塩尻市,長野県塩尻市大字洗馬２７２０番地３,agriculture,care|agriculture,2015-10-05,false,,,,http://www.ja-seba.iijan.or.jp/,0263-50-6177,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8100001023932,株式会社ゴッドファーム,ゴッドファーム,長野県,松本市,長野県松本市村井町南４丁目２番７号,agriculture,care|agriculture,2015-10-05,false,,,,http://yu-care.fem.jp/,0263-88-6938,,,国税庁 法人番号公表サイト,2022-12-15
1100001006035,株式会社みよし野ファーム,ミヨシノファーム,長野県,長野市,長野県長野市柳町８１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-12
1100001006472,丸善ファーム株式会社,マルゼンファーム,長野県,千曲市,長野県千曲市大字寂蒔８８０番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001007041,長野ベリーファーム株式会社,ナガノベリーファーム,長野県,長野市,長野県長野市大字西尾張部１１２１番地４,agriculture,agriculture,2015-10-05,false,23,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001011308,株式会社弘法林業,コウボウリンギョウ,長野県,小県郡青木村,長野県小県郡青木村大字田沢１３２１番地１,agriculture,agriculture,2006-12-26,false,,,代表取締役　トレーデ　ヘルムート,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001017841,株式会社藤本林業,フジモトリンギョウ,長野県,木曽郡王滝村,長野県木曽郡王滝村３１５２番地の１,agriculture,agriculture,1994-04-01,false,,,代表取締役　藤本　直大,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001020135,株式会社飯森林業,イイモリリンギョウ,長野県,岡谷市,長野県岡谷市湊５丁目１３番１５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-01
1100001022057,株式会社産直市場グリーンファーム,サンチョクイチバグリーンファーム,長野県,伊那市,長野県伊那市ますみヶ丘３５１番地７,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-02
1100001022156,株式会社大島農園,オオシマノウエン,長野県,上伊那郡中川村,長野県上伊那郡中川村片桐３５６０番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001022800,ミズホ林業株式会社,,長野県,飯田市,長野県飯田市山本２７６番地１３５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1100001023658,株式会社栗の木農園,クリノキノウエン,長野県,上高井郡小布施町,長野県上高井郡小布施町大字大島字切次７６０番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-01
1100001024342,株式会社ファーム中鶴,ファームナカツル,長野県,佐久市,長野県佐久市矢嶋１０９番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001025448,株式会社ハルディン軽井沢高原ファーム,ハルディンカルイザワコウゲンファーム,長野県,北佐久郡軽井沢町,長野県北佐久郡軽井沢町大字発地２０７９番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-09
1100001025654,株式会社すわファーム,スワファーム,長野県,諏訪市,長野県諏訪市大字湖南５９５２番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-30
1100001026173,株式会社合原有機農園,ゴウハラユウキノウエン,長野県,上田市,長野県上田市手塚１０５２番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001027312,農業生産法人株式会社島むら,ノウギョウセイサンホウジンシマムラ,長野県,松本市,長野県松本市大字島内４７５１番地４,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001027683,株式会社フルーツファームすこう,フルーツファームスコウ,長野県,須坂市,長野県須坂市大字日滝字行人塚１７３４番１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001027980,農業法人株式会社ＪＡ塩尻ファーム,ノウギョウホウジンジェイエイシオジリファーム,長野県,塩尻市,長野県塩尻市大字広丘郷原１８１１番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-31
1100001028046,株式会社おおぐし農園２,オオグシノウエンツー,長野県,中野市,長野県中野市大字牛出５９５番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-04
1100001028260,ウチヒロ農園株式会社,,長野県,長野市,長野県長野市豊野町豊野１１１４番地２－２０２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1100001028285,オリックス八ヶ岳農園株式会社,オリックスヤツガタケノウエン,長野県,諏訪郡富士見町,長野県諏訪郡富士見町立沢１３１２番地,agriculture,agriculture,2015-10-05,false,52,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001028830,株式会社あづみ野ファーム三田,アヅミノファームミタ,長野県,安曇野市,長野県安曇野市堀金三田１３９７番地,agriculture,agriculture,2015-11-17,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-18
1100001029143,株式会社ドリームファーム洗馬,ドリームファームセバ,長野県,塩尻市,長野県塩尻市大字洗馬９８５番地２,agriculture,agriculture,2016-03-10,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-04
1100001029894,ナチュレ・ファーム株式会社,,長野県,上田市,長野県上田市殿城字上日向２８７５番地,agriculture,agriculture,2017-01-10,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-13
1100001029969,株式会社ウィズファーム,ウィズファーム,長野県,下伊那郡松川町,長野県下伊那郡松川町上片桐２１６４番地１,agriculture,agriculture,2017-02-07,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
