# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3100005009206,特定非営利活動法人中央アルプスの郷プロジェクト,チュウオウアルプスノサトプロジェクト,長野県,駒ヶ根市,長野県駒ヶ根市赤穂２７８９番地,logistics,care|logistics,2015-10-05,false,,,,http://www.cek.ne.jp/~project2789/,0265-83-0833,,,国税庁 法人番号公表サイト,2018-06-18
1011305000245,平成運輸事業協同組合,ヘイセイウンユ,長野県,諏訪市,長野県諏訪市大字四賀武津１０３番地６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-06
1040002061762,有限会社ラムテクノロジーズ,ラムテクノロジーズ,長野県,松本市,長野県松本市深志２丁目１番地１６－８０１号サーパス松本深志,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-27
1100001001291,炭平ロジスティクス株式会社,スミヘイロジスティクス,長野県,須坂市,長野県須坂市大字井上９２７番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001002802,株式会社ハウジング・バンク・テクノロジー,,長野県,長野市,長野県長野市大字高田３９３番地９,logistics,realestate|logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-05-06
1100001003049,芙蓉運送株式会社,フヨウウンソウ,長野県,長野市,長野県長野市真光寺１２８９番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-26
1100001003222,松代運輸株式会社,マツシロウンユ,長野県,長野市,長野県長野市真島町真島６９０番地１,logistics,logistics,2015-10-05,false,40,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001003362,マルモ運輸株式会社,マルモウンユ,長野県,長野市,長野県長野市川中島町御厨１１０９番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-28
1100001006233,株式会社ふじき運送,フジキウンソウ,長野県,千曲市,長野県千曲市大字鋳物師屋１１５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-01
1100001010482,上小運輸株式会社,ジョウショウウンユ,長野県,小県郡青木村,長野県小県郡青木村大字村松３１番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-06
1100001010739,アート梱包運輸株式会社,アートコンポウウンユ,長野県,東御市,長野県東御市八重原３５１０番地１,logistics,logistics,2015-10-05,false,310,,,https://www.art-konpoh.co.jp/company/about_us/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001012074,清水梱包運輸株式会社,シミズコンポウウンユ,長野県,中野市,長野県中野市大字栗林６５３番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-13
1100001013213,信州運送株式会社,シンシュウウンソウ,長野県,松本市,長野県松本市寿北６丁目２４番２４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-08
1100001013287,信産倉庫株式会社,シンサンソウコ,長野県,松本市,長野県松本市野溝木工２丁目７番９号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-21
1100001014070,松本倉庫株式会社,マツモトソウコ,長野県,東筑摩郡山形村,長野県東筑摩郡山形村８２２８番地,logistics,logistics,2015-10-05,false,105,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001014442,梓運輸株式会社,アズサウンユ,長野県,松本市,長野県松本市梓川倭５９５番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-12
1100001015011,明科陸運株式会社,アカシナリクウン,長野県,安曇野市,長野県安曇野市明科光５３８番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-14
1100001016199,株式会社小泉運輸信越,コイズミウンユシンエツ,長野県,上伊那郡南箕輪村,長野県上伊那郡南箕輪村２３８０番地７７６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-25
1100001017503,株式会社大糸運輸,オオイトウンユ,長野県,北安曇郡白馬村,長野県北安曇郡白馬村大字北城１番地１５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001017569,川誠物流株式会社,,長野県,北安曇郡池田町,長野県北安曇郡池田町大字中鵜９２８番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-01-05
1100001017651,株式会社ＴＩＩ　テクノロジー,ティーアイアイテクノロジー,長野県,大町市,長野県大町市平７３４５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-24
1100001020655,大谷総業運輸倉庫株式会社,オオタニソウギョウウンユソウコ,長野県,伊那市,長野県伊那市野底８２６８番地１７,logistics,logistics,2015-10-05,false,130,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1100001020688,協同運輸株式会社,キョウドウウンユ,長野県,上伊那郡南箕輪村,長野県上伊那郡南箕輪村８３０６番地１１０１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-23
1100001021678,辰野貨物運送株式会社,タツノカモツウンソウ,長野県,上伊那郡辰野町,長野県上伊那郡辰野町大字平出２３２３番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-17
1100001023055,信州神港運輸株式会社,シンシュウシンコウウンユ,長野県,下伊那郡松川町,長野県下伊那郡松川町大島２０６２番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-18
1100001023534,株式会社信濃配送,シナノハイソウ,長野県,下伊那郡高森町,長野県下伊那郡高森町牛牧３８８番地５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-24
1100001024409,小坂運輸株式会社,,長野県,長野市,長野県長野市大字川合新田２１１０番地５８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1100001024739,細川運送株式会社,ホソカワウンソウ,長野県,塩尻市,長野県塩尻市大字広丘吉田５１２番地９,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-08
1100001033178,株式会社片倉運輸,カタクラウンユ,長野県,岡谷市,長野県岡谷市川岸上２丁目２２番７号,logistics,logistics,2020-05-12,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-12
