# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2100001007791,エフビー介護サービス株式会社,エフビーカイゴサービス,長野県,佐久市,長野県佐久市長土呂１５９番地２,medical,care,2015-10-05,false,923,496544000,代表取締役社長　　栁澤　美穂,http://www.fb-kaigo.co.jp/,0267-66-7867,,https://www.fb-kaigo.co.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8100002007059,有限会社ブルームケア,ブルームケア,長野県,長野市,長野県長野市真島町真島１２３８番地２,medical,care,2015-10-05,false,,,,,026-286-7432,,,国税庁 法人番号公表サイト,2023-04-04
7100005004426,社会福祉法人敬老園,ケイロウエン,長野県,上田市,長野県上田市常磐城２２５６番地１,medical,care,2015-10-05,false,1138,,,https://www.keiroen.or.jp,0268-28-1170,,https://www.keiroen.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2100001000020,あさひ福祉サービス株式会社,アサヒフクシサービス,長野県,長野市,長野県長野市広田１１１番地,medical,care,2015-10-05,false,109,,,http://www.asahi-fukusi.jp/,026-286-7788,,http://www.asahi-fukusi.jp/pages/4/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9100005001693,社会福祉法人長野市社会福祉協議会,ナガノシシャカイフクシキョウギカイ,長野県,長野市,長野県長野市大字鶴賀字苗間平１７１４番地５,medical,care,2015-10-05,false,542,,,,026-256-2961,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5100005001788,長野医療生活協同組合,ナガノイリョウ,長野県,長野市,長野県長野市大字鶴賀１５７０番地,medical,care|clinic,2015-10-05,false,1000,,,http://www.healthcoop-nagano.or.jp/,026-234-1476,,https://healthcoop-nagano.or.jp/contactform,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2100001024424,株式会社アップルケア,アップルケア,長野県,長野市,長野県長野市松代町西寺尾字上高相１０４７番地１,medical,care,2015-10-05,false,,,,,026-214-6622,,,国税庁 法人番号公表サイト,2023-07-03
4100005002060,社会福祉法人ハーモニー福祉会,ハーモニーフクシカイ,長野県,長野市,長野県長野市大字吉１８２３番地１,medical,care,2015-10-05,false,125,,,https://harmony-rainbow.main.jp/,026-295-1810,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6100005011588,特定非営利活動法人介護サービス・しおざき,カイゴサービスシオザキ,長野県,長野市,長野県長野市篠ノ井塩崎３５９１番地,medical,care,2015-10-05,false,,,,,026-292-2476,,,国税庁 法人番号公表サイト,2021-11-19
3100005001559,医療法人コスモス,コスモス,長野県,長野市,長野県長野市小島田町字北村沖３８０番地,medical,care|clinic,2015-10-05,false,400,,,http://www.cosmosnet.or.jp/file/helper.html,026-283-2237,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
