# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5420001009282,東北化学薬品株式会社,トウホクカガクヤクヒン,青森県,弘前市,青森県弘前市大字神田１丁目３番地の１,manufacturing,care,1953-02-16,false,254,820400000,代表取締役社長　　東  康之　,,0172-32-9821,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1420001000559,株式会社大谷製麵工場,,青森県,青森市,青森県青森市大字大野字前田６７番地６,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-10
1420001001367,中央食品株式会社,チュウオウショクヒン,青森県,青森市,青森県青森市卸町５番７号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-13
1420001002191,芳山食品株式会社,ヨシヤマショクヒン,青森県,青森市,青森県青森市里見１丁目２３番３６号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-13
1420001002258,株式会社木戸食品,キドショクヒン,青森県,東津軽郡外ヶ浜町,青森県東津軽郡外ヶ浜町字下蟹田２９番地１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-28
1420001006044,大幸食品株式会社,タイコウショクヒン,青森県,八戸市,青森県八戸市柏崎３丁目１番３号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-08
1420001006060,大和食品株式会社,,青森県,八戸市,青森県八戸市長苗代３丁目１９番１１号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1420001006432,熊さん第三工場株式会社,クマサンダイサンコウジョウ,青森県,八戸市,青森県八戸市城下４丁目１０番４０号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-09
1420001012430,株式会社となみ総合食品,,青森県,むつ市,青森県むつ市文京町２５番３１号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-30
1420001012835,株式会社東田電気食品店,ヒガシダデンキショクヒンテン,青森県,下北郡東通村,青森県下北郡東通村大字白糠字浜通４２番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-27
1420001014063,株式会社白﨑自動車工場,シラサキジドウシャコウジョウ,青森県,弘前市,青森県弘前市大字在府町５１番地１,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-23
1420002000517,有限会社栄弘食品,,青森県,青森市,青森県青森市古川３丁目１４番８号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1420002000616,有限会社大出クリーニング工場,オオデクリーニングコウジョウ,青森県,青森市,青森県青森市古川３丁目１５番２０号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-25
1420002000748,有限会社川村食品,,青森県,青森市,青森県青森市奥野１丁目５番１９号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1420002001382,有限会社シミズ食品,,青森県,青森市,青森県青森市大字三内字沢部４３８番地１４,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1420002002918,有限会社棟方自動車板金工場,,青森県,青森市,青森県青森市大字石江字三好１２０番地４,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1420002006316,有限会社ヤマカ製作所,ヤマカセイサクジョ,青森県,八戸市,青森県八戸市大字松館字水野平２０番地１０,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-13
