# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1420005002188,特定非営利活動法人ラ・シャリテ,ラシャリテ,青森県,青森市,青森県青森市第二問屋町３丁目３番３１号,other,care,2015-10-05,false,316,,,,0246-38-8204,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1420001013239,株式会社飛翔会,ヒショウカイ,青森県,青森市,青森県青森市妙見２丁目３番９,other,care,2015-10-05,false,,,,,017-763-5070,,,国税庁 法人番号公表サイト,2022-01-31
1420002003180,有限会社ループ緑寿の里,ループリョクジュノサト,青森県,青森市,青森県青森市大字田茂木野字大沢７８番地６,other,care,2015-10-05,false,,,,,017-738-5077,,,国税庁 法人番号公表サイト,2026-02-24
5420001014365,株式会社巧建,コウケン,青森県,青森市,青森県青森市松森１丁目１２番１３号,other,care,2015-10-05,false,,,,https://www.kouken-group.jp,017-752-0380,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7420001015832,株式会社栄明会,エイメイカイ,青森県,青森市,青森県青森市自由ケ丘２丁目１２番地１６,other,care,2017-08-02,false,,,,,017-744-5533,,,国税庁 法人番号公表サイト,2018-08-20
4420001004994,株式会社あうら,アウラ,青森県,青森市,青森県青森市大字駒込字桐ノ沢１９番地４,other,care,2015-10-05,false,418,,,http://www.aura-group.jp,017-752-9167,,http://www.aura-group.jp/?page_id=21,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5420001014407,株式会社ラポール・ライブ,ラポールライブ,青森県,青森市,青森県青森市港町２丁目１３番１７号,other,care,2015-10-05,false,,,,,017-763-5811,,,国税庁 法人番号公表サイト,2024-12-10
2420002005746,有限会社幸寿,コウジュ,青森県,青森市,青森県青森市大字石江字江渡４８番地４,other,care,2015-10-05,false,,,,,017-735-6625,,,国税庁 法人番号公表サイト,2021-03-30
2420002005779,有限会社ながしま,ナガシマ,青森県,青森市,青森県青森市長島４丁目２２番１９号,other,care,2015-10-05,false,,,,http://www,017-723-7466,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8420005002355,特定非営利活動法人みんなの架け橋,ミンナノカケハシ,青森県,青森市,青森県青森市虹ケ丘１丁目７番地１２,other,care,2015-10-05,false,,,,www.m-kakehasi.com/,017-752-1630,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4420001004879,株式会社丸正,マルマサ,青森県,青森市,青森県青森市大字原別字下海原３５番地２,other,care,2015-10-05,false,,,,,017-762-7616,,,国税庁 法人番号公表サイト,2018-10-17
5420002005173,有限会社すかい,スカイ,青森県,青森市,青森県青森市花園２丁目４４番７号,other,care,2015-10-05,false,,,,,017-765-5678,,,国税庁 法人番号公表サイト,2024-06-26
2420001004880,株式会社トラスト・メイト,トラストメイト,青森県,青森市,青森県青森市大字平新田字池上１１番地１０９,other,care,2015-10-05,false,,,,,017-737-0356,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6420005004262,特定非営利活動法人エーデルの里,エーデルノサト,青森県,青森市,青森県青森市大字筒井字八ツ橋５１番地２　１Ｆ,other,care,2015-10-05,false,,,,,017-718-2557,,,国税庁 法人番号公表サイト,2018-06-26
6420005000303,青森保健生活協同組合,アオモリホケン,青森県,青森市,青森県青森市東大野２丁目９番地２,other,care,2015-10-05,false,,,,,017-729-3274,,,国税庁 法人番号公表サイト,2021-08-11
7420002002615,有限会社ホテルチトセ,ホテルチトセ,青森県,青森市,青森県青森市安方１丁目４番１４号,other,care|hotel,2015-10-05,false,,,,http://hot-taira.com/indeｘ.html］,080-3334-8701,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5420001013623,株式会社心,ココロ,青森県,青森市,青森県青森市造道１丁目１０番２号,other,care,2015-10-05,false,153,,,,017-757-9460,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5420001013846,株式会社七輝,ナナキ,青森県,青森市,青森県青森市大字新城字山田３０１番地１８,other,care,2015-10-05,false,,,,https://nanaki5900.amebaownd.com,017-752-7786,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3420001014103,株式会社まご心,マゴコロ,青森県,青森市,青森県青森市大字油川字柳川５４番８号,other,care,2015-10-05,false,,,,http://magocoro-co.jp,017-763-2320,,http://magocoro-co.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6420001012888,株式会社ユリカ,ユリカ,青森県,青森市,青森県青森市橋本２丁目１４番６号,other,care|realestate,2015-10-05,false,,,,https://www.yurika-hashimoto.com,0120-707-122,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5420001013904,株式会社いきいき,イキイキ,青森県,青森市,青森県青森市桂木３丁目１８番地２,other,care,2015-10-05,false,125,,,https://iki-iki.co.jp/facility/,017-757-8938,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3420001014284,株式会社アピイ,アピイ,青森県,青森市,青森県青森市問屋町１丁目７番２１号,other,care,2015-10-05,false,135,,,,017-757-8682,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4420003001437,合同会社響,,青森県,青森市,青森県青森市大字新城字平岡１６０番地２３８,other,care,2015-10-05,false,,,,,０１７－７８８－０２３８,,,国税庁 法人番号公表サイト,2015-10-30
7420001014495,株式会社煌,カガヤキ,青森県,青森市,青森県青森市西滝２丁目６番３号,other,care,2015-10-05,false,,,,,017-718-1024,,,国税庁 法人番号公表サイト,2020-04-14
1420001014922,株式会社アクトリー,アクトリー,青森県,青森市,青森県青森市蛍沢１丁目８番１０号,other,care,2015-10-09,false,,,,,０１７－７５２－６４０４,,,国税庁 法人番号公表サイト,2025-01-29
5420005000543,一般社団法人慈恵会,ジケイカイ,青森県,青森市,青森県青森市大字安田字近野１４５番１３号,other,care,1961-07-11,false,1113,,代表理事　丹野　智宙,http://www.jikei-kai.org,017-761-3035,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6420001013382,株式会社ノーザンクロス,ノーザンクロス,青森県,青森市,青森県青森市新町２丁目８番３９号,other,care,2015-10-05,false,,,,,017-772-7507,,,国税庁 法人番号公表サイト,2019-10-29
