# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5080105000008,富士伊豆農業協同組合,フジイズ,静岡県,沼津市,静岡県沼津市下香貫字上障子４１５番地の１,agriculture,care|agriculture,2015-10-05,false,,,,http://www.ja-fujiizu.or.jp,0558-25-3711,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6080005000040,静岡県厚生農業協同組合連合会,シズオカケンコウセイ,静岡県,静岡市駿河区,静岡県静岡市駿河区曲金３丁目８番１号,agriculture,care|agriculture,2015-10-05,false,,,,http://www.ja-shizuoka.or.jp/szlosei-hosp/humon/humontop.htm,054-369-7700,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2080102004889,有限会社オネストファーム,,静岡県,沼津市,静岡県沼津市岡宮３７５番地の１３パステル緑ヶ丘１Ｆ,agriculture,care|agriculture,2015-10-05,false,,,,,055-924-3400,,,国税庁 法人番号公表サイト,2015-11-13
8080405004829,遠州夢咲農業協同組合,エンシュウユメサキ,静岡県,菊川市,静岡県菊川市下平川６２６５番地,agriculture,care|agriculture,2015-10-05,false,491,,,http://jayumesaki.ja-shizuoka.or.jp/,0537-73-1330,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010703002687,日本平メガソーラーファーム合同会社,ニホンダイラメガソーラーファーム,静岡県,静岡市清水区,静岡県静岡市清水区宮加三字鳴沢８７５番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-26
1021001048397,株式会社相模漁業,,静岡県,富士宮市,静岡県富士宮市淀師１８３番,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080001008620,竹内水産株式会社,タケウチスイサン,静岡県,静岡市清水区,静岡県静岡市清水区北矢部町１丁目３番１２号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-12
1080001009222,三保鮪漁業株式会社,ミホマグロギョギョウ,静岡県,静岡市清水区,静岡県静岡市清水区三保３５３３番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-07-25
1080001011491,株式会社海野農園,ウンノノウエン,静岡県,静岡市葵区,静岡県静岡市葵区安倍口新田８３番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-14
1080001011921,株式会社倉沢漁業,クラサワギョギョウ,静岡県,静岡市清水区,静岡県静岡市清水区由比西倉沢８３３番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-25
1080001013050,株式会社阪本自然農園,サカモトシゼンノウエン,静岡県,島田市,静岡県島田市阪本４２５１番地の１０,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-15
1080001013711,福栄丸漁業株式会社,フクエイマルギョギョウ,静岡県,牧之原市,静岡県牧之原市新庄２９番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-11
1080001013942,株式会社久保田水産,クボタスイサン,静岡県,榛原郡吉田町,静岡県榛原郡吉田町川尻３１３８番地の３２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-09
1080001014684,魚二水産株式会社,ウオニスイサン,静岡県,焼津市,静岡県焼津市八楠１丁目２３番地の２１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-29
1080001014874,静岡県水産株式会社,シズオカケンスイサン,静岡県,焼津市,静岡県焼津市中港１丁目３番７号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-02
1080001015344,株式会社ヤマソウ水産,ヤマソウスイサン,静岡県,焼津市,静岡県焼津市大村３丁目１番地の７,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-13
1080001016202,増田水産株式会社,マスダスイサン,静岡県,焼津市,静岡県焼津市塩津１２２番地の１０,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-22
1080001019320,株式会社ファームテンダー,,静岡県,静岡市駿河区,静岡県静岡市駿河区東新田１丁目１５番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080001022472,株式会社中尾林業,ナカオリンギョウ,静岡県,島田市,静岡県島田市横岡５７９番地の１,agriculture,agriculture,2018-10-03,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-09
1080001024394,森木農園株式会社,モリキノウエン,静岡県,牧之原市,静岡県牧之原市東萩間１１５番地,agriculture,agriculture,2021-08-26,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080001024667,株式会社アサオカグリーンファーム,アサオカグリーンファーム,静岡県,島田市,静岡県島田市野田８８７番地,agriculture,agriculture,2022-01-06,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-06
1080001024849,株式会社吉川農園,キッカワノウエン,静岡県,焼津市,静岡県焼津市藤守１３９８番地,agriculture,agriculture,2022-04-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080001025145,株式会社マル金農園研究所,マルキンノウエンケンキュウジョ,静岡県,藤枝市,静岡県藤枝市瀬戸ノ谷７５３７番地の２,agriculture,agriculture,2022-08-25,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-25
1080001025178,株式会社ことぶき農園,コトブキノウエン,静岡県,静岡市清水区,静岡県静岡市清水区下野西５番１３号,agriculture,agriculture,2022-09-07,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-07
1080001027546,川根ティーファーム株式会社,カワネティーファーム,静岡県,島田市,静岡県島田市川根町家山２３５２番地,agriculture,agriculture,2026-04-22,true,,,,,,,,国税庁 法人番号公表サイト,2026-04-22
1080001027653,村瀬農園株式会社,ムラセノウエン,静岡県,牧之原市,静岡県牧之原市東萩間２１１６番地８,agriculture,agriculture,2026-06-16,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-16
1080002003166,有限会社静岡洞江水産,シズオカドウコウスイサン,静岡県,静岡市駿河区,静岡県静岡市駿河区寿町１１番３５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-08
1080002009270,庵原林業有限会社,イハラリンギョウ,静岡県,静岡市清水区,静岡県静岡市清水区庵原町１４２番地の９,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-26
1080002012860,憲洋漁業有限会社,,静岡県,静岡市清水区,静岡県静岡市清水区島崎町１７３番地の８,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-03-02
1080002013537,カネヨシ水産有限会社,,静岡県,島田市,静岡県島田市横井２丁目６番２５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080002014989,マルナカ水産有限会社,,静岡県,牧之原市,静岡県牧之原市地頭方１丁目１１９番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080002018692,有限会社岩手宝牧場,イワテタカラボクジョウ,静岡県,静岡市駿河区,静岡県静岡市駿河区大谷３８００番地の２９７,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-29
1080003001796,合同会社葵ファーム,,静岡県,静岡市葵区,静岡県静岡市葵区日向１４８６番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080003002431,ＴＹ牧場御奉公合同会社,ティーワイボクジョウゴホウコウ,静岡県,藤枝市,静岡県藤枝市青南町５丁目２番５６号ケアレーベルビル,agriculture,agriculture,2020-05-28,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-28
1080005000020,竜爪茶農業協同組合,リュウソウチャ,静岡県,静岡市葵区,静岡県静岡市葵区平山６１７番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-25
1080005000037,足久保ティーワークス茶農業協同組合,アシクボティーワークスチャ,静岡県,静岡市葵区,静岡県静岡市葵区足久保口組２０８２番地の２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080005003270,興津川非出資漁業協同組合,オキツガワヒシュッシ,静岡県,静岡市清水区,静岡県静岡市清水区但沼町８２番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-24
1080005004450,伊久美小川茶農業協同組合,,静岡県,島田市,静岡県島田市伊久美２８８５番地の５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-05-15
1080005004459,下湯日茶農業協同組合,シモユイチャ,静岡県,島田市,静岡県島田市湯日３５８７番地の２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-15
1080005004467,船木第一茶農業協同組合,フナキダイイチチャ,静岡県,島田市,静岡県島田市岡田５５番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-06
1080005004475,静岡県中部農業共済組合,シズオカケンチュウブ,静岡県,島田市,静岡県島田市道悦５丁目３番１５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080005004657,大代茶農業協同組合,,静岡県,島田市,静岡県島田市大代１５９７番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-06-14
1080005004665,神尾茶農業協同組合,カミオチャ,静岡県,島田市,静岡県島田市神尾２５２番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-18
1080005004847,農事組合法人安田ファーム,,静岡県,島田市,静岡県島田市大代３０２７番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080005005077,静岡うなぎ漁業協同組合,シズオカウナギ,静岡県,榛原郡吉田町,静岡県榛原郡吉田町片岡７４３番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-28
1080005005127,富士庄茶農業協同組合,フジショウチャ,静岡県,牧之原市,静岡県牧之原市勝俣４５９番地３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-14
1080005005952,本郷茶農業協同組合,,静岡県,藤枝市,静岡県藤枝市本郷１０３９番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-19
1080005006637,静岡県指導農業協同組合連合会,,静岡県,静岡市葵区,静岡県静岡市葵区御幸町２番地ノ８,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080005006744,神谷城特産農業協同組合,,静岡県,島田市,静岡県島田市神谷城１２番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-17
1080005007668,特定非営利活動法人いきものがかりｄｅみんなの農業高校,イキモノガカリデミンナノノウギョウコウコウ,静岡県,静岡市清水区,静岡県静岡市清水区馬走９７６番地の６５,agriculture,agriculture,2025-01-28,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-28
1080101001087,株式会社田藤水産,タトウスイサン,静岡県,沼津市,静岡県沼津市下河原町２丁目１０番地の２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-07
1080101001847,株式会社マルヨ笹与水産,,静岡県,沼津市,静岡県沼津市志下４３７番地の３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-22
1080101006978,農業生産法人株式会社共和ファーム,ノウギョウセイサンホウジンキョウワファーム,静岡県,田方郡函南町,静岡県田方郡函南町桑原１３００番地の３９９,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-17
