# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3080001022280,株式会社メディカル東海パートナーズ,メディカルトウカイパートナーズ,静岡県,静岡市清水区,静岡県静岡市清水区興津中町２７５番地の３,consulting,care|pro-services,2018-06-13,false,,,,,054-368-4566,,,国税庁 法人番号公表サイト,2018-06-18
1010001106645,アスクムパートナーズ株式会社,アスクムパートナーズ,静岡県,御殿場市,静岡県御殿場市神場１丁目３８番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-22
1011801018856,株式会社新紀元総合コンサルタンツ,シンキゲンソウゴウコンサルタンツ,静岡県,三島市,静岡県三島市佐野見晴台１丁目４１番地の５,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080001004108,株式会社日本地理コンサルタント,ニホンチリコンサルタント,静岡県,静岡市葵区,静岡県静岡市葵区東千代田１丁目６番２０号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-28
1080001010519,株式会社Ｋ．Ｔコンサルタント,ケーティーコンサルタント,静岡県,静岡市清水区,静岡県静岡市清水区八坂東２丁目１番６０号サングレアム２－３０１号室,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-02
1080001011608,株式会社アクアコンサルティング,,静岡県,静岡市駿河区,静岡県静岡市駿河区栗原２８番１４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080001012597,大畑会計サービス株式会社,オオハタカイケイサービス,静岡県,静岡市葵区,静岡県静岡市葵区安東１丁目２５番８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-26
1080001013141,駿河コンサルタント株式会社,スルガコンサルタント,静岡県,島田市,静岡県島田市河原２丁目６番３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-01
1080001014296,株式会社濱田総合会計,ハマダソウゴウカイケイ,静岡県,島田市,静岡県島田市阿知ケ谷２１９番地の６,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-07
1080001015501,富士コンサル株式会社,,静岡県,富士市,静岡県富士市依田橋８４番地の１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-19
