# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8080402007173,平成フードサプライ有限会社,ヘイセイフードサプライ,静岡県,浜松市中央区,静岡県浜松市中央区佐藤１丁目１６番２２号,food,care,2015-10-05,false,120,,,,0536-85-5002,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080001001559,株式会社こめやフードサービス,コメヤフードサービス,静岡県,静岡市駿河区,静岡県静岡市駿河区国吉田１丁目１０番２２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080001005519,株式会社ユニオンフード,,静岡県,静岡市清水区,静岡県静岡市清水区庵原町８６０番地７,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080001017407,株式会社フードランド,フードランド,静岡県,藤枝市,静岡県藤枝市大西町１丁目１番地の２８,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-27
1080001020071,株式会社フードジャパン,,静岡県,静岡市葵区,静岡県静岡市葵区七間町１２番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080001020848,株式会社フードアイ,フードアイ,静岡県,静岡市葵区,静岡県静岡市葵区安倍町１０－６,food,,2016-04-07,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-27
1080001022613,すずなりキッチン株式会社,スズナリキッチン,静岡県,静岡市葵区,静岡県静岡市葵区下１１０８番地の８,food,restaurant,2018-12-27,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-07
1080001026894,株式会社ケイエスダイニング,ケイエスダイニング,静岡県,静岡市葵区,静岡県静岡市葵区呉服町２丁目８番３,food,restaurant,2025-05-08,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-08
1080002000675,有限会社岩久食堂,イワキュウショクドウ,静岡県,静岡市葵区,静岡県静岡市葵区呉服町２丁目７番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-09
1080002002408,三和食堂有限会社,サンワショクドウ,静岡県,静岡市駿河区,静岡県静岡市駿河区新川２丁目８番２７号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-10
1080002010096,有限会社シバ・フードサービス,,静岡県,静岡市清水区,静岡県静岡市清水区三保２４１番地の３５,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080002012456,有限会社ホットキッチン,,静岡県,静岡市駿河区,静岡県静岡市駿河区丸子新田３１７番地の３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-22
1080002013248,有限会社サンワフードサービス,,静岡県,静岡市葵区,静岡県静岡市葵区横内町２９番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-20
1080002013982,有限会社ヤマタフード,,静岡県,島田市,静岡県島田市岸町１１３１番地の１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080002015822,有限会社サスイゲタフード,,静岡県,焼津市,静岡県焼津市焼津６丁目１番１９号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080002016671,有限会社ユースフードサービス,,静岡県,焼津市,静岡県焼津市中港３丁目８番２３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-12-15
1080003002811,ＫＭＳフードサービス合同会社,ケイエムエスフードサービス,静岡県,静岡市清水区,静岡県静岡市清水区梅田町１３番２６号,food,restaurant,2022-06-06,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-06
1080101007712,ゴクウフードサービス株式会社,,静岡県,御殿場市,静岡県御殿場市新橋１９９０番地の１０,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080101013545,株式会社カナパックシーフード,カナパックシーフード,静岡県,伊東市,静岡県伊東市東松原町７番１０号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080101014213,フレッシュ・フード株式会社,フレッシュフード,静岡県,伊東市,静岡県伊東市八幡野１２８３番地の１２０,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-28
1080101017703,株式会社サンプラダイニング,サンプラダイニング,静岡県,沼津市,静岡県沼津市高島本町１６番１６号,food,restaurant,2015-10-05,false,9,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080101019105,株式会社青木フードサービス,,静岡県,富士宮市,静岡県富士宮市田中町１２８番地の１,food,restaurant,2016-05-18,false,20,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080101020509,イズフードデザイン株式会社,イズフードデザイン,静岡県,熱海市,静岡県熱海市上宿町１９番２３－５０２号,food,advertising,2018-05-30,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-04
1080101021878,株式会社静神フードサービス,セイシンフードサービス,静岡県,賀茂郡東伊豆町,静岡県賀茂郡東伊豆町稲取１５７４番地の２,food,restaurant,2020-07-07,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-07
1080102001524,有限会社三平フード,,静岡県,沼津市,静岡県沼津市住吉町５番４０号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080102002398,有限会社寺川フードサービス,,静岡県,沼津市,静岡県沼津市筒井町２番地の４,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080102006837,有限会社勝間田食堂,カツマタショクドウ,静岡県,御殿場市,静岡県御殿場市印野１９３６番地の２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-21
1080102020292,有限会社日東フード,,静岡県,伊東市,静岡県伊東市馬場町１丁目１６番５２号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080401010952,株式会社グローバルダイニングサービス,,静岡県,浜松市中区,静岡県浜松市中区住吉３丁目４番８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-22
1080401015828,株式会社主婦の店磐田フードセンター,シュフノミセイワタフードセンター,静岡県,磐田市,静岡県磐田市中泉３２６番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-08
1080401016000,株式会社歩歩フードサービス,,静岡県,磐田市,静岡県磐田市中泉３丁目５番地１０,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1080401020118,株式会社ハッピーフード,ハッピーフード,静岡県,磐田市,静岡県磐田市海老塚７７５番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-31
1080401020282,株式会社一歩ダイニング,イッポダイニング,静岡県,浜松市中央区,静岡県浜松市中央区板屋町１０２番地の１４,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-05
1080401020547,株式会社フードクリエイション,,静岡県,浜松市中区,静岡県浜松市中区幸１丁目１番４０号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-07
1080402016965,有限会社フードリンク,フードリンク,静岡県,浜松市浜名区,静岡県浜松市浜名区三ヶ日町三ヶ日９１４番地の４３,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-10
2011101063016,株式会社ワールド・カフェ,ワールドカフェ,静岡県,熱海市,静岡県熱海市伊豆山１１７３番地の４８５ドメーヌ熱海伊豆山・西館４０２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-20
2011402017059,有限会社ダイニングストーリー,ダイニングストーリー,静岡県,沼津市,静岡県沼津市中瀬町３番３３号ボナーシュモア３０２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-10
2080001019360,株式会社すがいフードコーポレーション,,静岡県,静岡市葵区,静岡県静岡市葵区音羽町４番１０号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2080001021779,株式会社スルガフードサービス,スルガフードサービス,静岡県,榛原郡吉田町,静岡県榛原郡吉田町川尻４５４番地の１,food,restaurant,2017-08-29,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-05
2080001022711,宏昌フードサービス株式会社,コウショウフードサービス,静岡県,静岡市駿河区,静岡県静岡市駿河区登呂２丁目１４番２６号,food,restaurant,2019-03-01,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-06
2080002007307,有限会社バーノンフードサービス,,静岡県,静岡市清水区,静岡県静岡市清水区小河内３６６５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2080003003271,合同会社タコカフェＦＣ５,タコカフェエフシーファイブ,静岡県,静岡市葵区,静岡県静岡市葵区上足洗４丁目９番２２号,food,restaurant,2024-08-06,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-06
2080101007001,株式会社フード・ジャパン,,静岡県,駿東郡清水町,静岡県駿東郡清水町湯川４３番地の４,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-06-20
2080101015202,フードスタンダード株式会社,,静岡県,田方郡函南町,静岡県田方郡函南町畑２６番地の１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2080101025093,株式会社ＶＩＣＴＯＲＹキッチン,ビクトリーキッチン,静岡県,伊豆の国市,静岡県伊豆の国市北江間８５番地の２,food,restaurant,2024-10-28,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-28
2080102003065,有限会社フードスタッフ,フードスタッフ,静岡県,沼津市,静岡県沼津市東椎路５４０番地,food,hr,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-11
2080102016810,有限会社食堂菊屋,,静岡県,富士宮市,静岡県富士宮市西町１７番２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2080102018815,有限会社カフェエフェメラ,カフェエフェメラ,静岡県,熱海市,静岡県熱海市泉１０９番地の２２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-07
2080102019128,有限会社イズフードセンター,,静岡県,伊東市,静岡県伊東市荻７４２番地の２,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2080103003601,合同会社ＢＯＮＤダイニング,ボンドダイニング,静岡県,熱海市,静岡県熱海市清水町６番２７号,food,restaurant,2026-05-07,true,,,,,,,,国税庁 法人番号公表サイト,2026-05-07
2080105003756,あさぎりフードパーク協同組合,アサギリフードパーク,静岡県,富士宮市,静岡県富士宮市根原４４９番地の１１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-19
2080401004037,株式会社浜松観光食堂,ハママツカンコウショクドウ,静岡県,浜松市中央区,静岡県浜松市中央区和合町９３６番地の１９,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2080401010712,株式会社フードランド,,静岡県,浜松市浜名区,静岡県浜松市浜名区三ヶ日町三ヶ日８４３番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-10
2080401015273,株式会社レストラン大川,レストランオオカワ,静岡県,菊川市,静岡県菊川市下平川２８２５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-17
2080401018111,アングラーズカフェ株式会社,アングラーズカフェ,静岡県,浜松市中区,静岡県浜松市中区板屋町６１８番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-20
2080401018672,フード株式会社,フード,静岡県,御前崎市,静岡県御前崎市御前崎３５番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2080401022245,株式会社あっくんのキッチン,,静岡県,浜松市浜名区,静岡県浜松市浜名区都田町２９０３番地の２,food,restaurant,2017-06-06,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-10
2080401022278,株式会社入船食堂,,静岡県,浜松市中央区,静岡県浜松市中央区田尻町１１２番地,food,restaurant,2017-06-21,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-10
2080401025578,ＹＳダイニング株式会社,ワイエスダイニング,静岡県,掛川市,静岡県掛川市上内田３９６番地,food,restaurant,2022-01-17,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-13
2080401027475,株式会社Ｎフード,エヌフード,静岡県,浜松市中央区,静岡県浜松市中央区大柳町１８１番地の３,food,,2024-10-02,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-02
2080403002765,ナルミフードサービス合資会社,,静岡県,浜松市浜名区,静岡県浜松市浜名区永島２７３番地の４,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-12
3080001005649,株式会社和田フードセンター,ワダフードセンター,静岡県,静岡市駿河区,静岡県静岡市駿河区小黒１丁目８番７号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-01
3080001010921,株式会社フードクリエイト,フードクリエイト,静岡県,静岡市葵区,静岡県静岡市葵区城北１０６番地の１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3080001012323,東洋フード株式会社,トウヨウフード,静岡県,静岡市葵区,静岡県静岡市葵区幸町４７番地の２,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-05
3080001012802,株式会社オリエンタル・ダイニング,,静岡県,静岡市駿河区,静岡県静岡市駿河区西島８８９番地の１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3080001014385,株式会社アラハタフードマシン,アラハタフードマシン,静岡県,島田市,静岡県島田市東町１３９７番地の２,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-02
3080001015433,株式会社レストラン大川,レストランオオカワ,静岡県,焼津市,静岡県焼津市大島８０４番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-09
3080002011349,有限会社ミチワ・フードサービス,ミチワフードサービス,静岡県,静岡市清水区,静岡県静岡市清水区千歳町１番２－３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-10
3080002013254,有限会社フューチャーダイニング,,静岡県,静岡市駿河区,静岡県静岡市駿河区南町２番２６号ロアシズオカ１０１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3080005001487,静岡県飲食業生活衛生同業組合,シズオカケンインショクギョウ,静岡県,静岡市葵区,静岡県静岡市葵区常磐町３丁目３番９号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3080005003946,特定非営利活動法人マンパワーカフェ,マンパワーカフェ,静岡県,静岡市葵区,静岡県静岡市葵区銭座町１０１番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-19
3080005006536,静岡市フードビジネス協同組合,シズオカシフードビジネス,静岡県,静岡市駿河区,静岡県静岡市駿河区南町６番１１号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-11
3080101012165,株式会社中上フードサービス,,静岡県,富士宮市,静岡県富士宮市東町３０番５号ＰＢＣ富士宮９０３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-19
3080101020028,株式会社カツマタ食堂,,静岡県,御殿場市,静岡県御殿場市神山１９１３番地の２０９,food,restaurant,2017-08-24,false,,,,,,,,国税庁 法人番号公表サイト,2017-08-29
3080101024367,株式会社未来キッチン,,静岡県,沼津市,静岡県沼津市白銀町９－９富創第三ビル１階,food,restaurant,2023-11-29,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-29
3080101024747,株式会社ジャパンフードサービス,ジャパンフードサービス,静岡県,御殿場市,静岡県御殿場市塚原７８番地の４,food,restaurant,2024-05-13,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-24
3080102009680,有限会社ゑびす食堂,,静岡県,三島市,静岡県三島市大宮町１丁目１番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3080102015571,有限会社ケイフード,,静岡県,富士市,静岡県富士市吉原３丁目１０番５号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3080102017064,有限会社西村屋食堂,ニシムラヤショクドウ,静岡県,富士宮市,静岡県富士宮市上条２５９番地の２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-24
3080102020695,有限会社レストランフェニックス,,静岡県,伊東市,静岡県伊東市中央町３番７号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3080102021462,有限会社かがやフード,,静岡県,賀茂郡南伊豆町,静岡県賀茂郡南伊豆町上賀茂５０番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3080401021411,株式会社アンジェリカフェリーチェ,アンジェリカフェリーチェ,静岡県,浜松市中央区,静岡県浜松市中央区佐鳴台１丁目６番３号,food,restaurant,2016-04-08,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-05
3080401024240,株式会社メガフードジャパン,メガフードジャパン,静岡県,浜松市中央区,静岡県浜松市中央区入野町８８１５番地の１,food,,2020-04-09,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-11
3080402010181,有限会社エナックフードサービス,,静岡県,浜松市中央区,静岡県浜松市中央区初生町３１４番地の１３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-05
