# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8080405000142,社会福祉法人聖隷福祉事業団,セイレイフクシジギョウダン,静岡県,浜松市中央区,静岡県浜松市中央区元城町２１８番地２６,medical,care,1942-08-27,false,9445,,理事長　青木　善治,http://www.seirei.or.jp/hq/facility/home/helper/yokosuka/index.html,0799-72-4020,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7080105003297,社会福祉法人富士厚生会,フジコウセイカイ,静岡県,富士宮市,静岡県富士宮市上井出２０２９番地の１,medical,care,2015-10-05,false,550,,,http://www/fujikoseikai.or.jp,0556-45-2211,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7080105001169,社会医療法人青虎会,セイコカイ,静岡県,御殿場市,静岡県御殿場市川島田字中原１０６７番地１,medical,care|clinic,2015-10-05,false,717,,,,0550-76-5800,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1080002000683,有限会社岩本薬局,,静岡県,静岡市葵区,静岡県静岡市葵区巴町６０番地,medical,care|pharmacy,2015-10-05,false,,,,http://iwamotoyakkyoku.jp/,0542470760,,https://iwamotoyakkyoku.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6080005003753,社会福祉法人静岡市社会福祉協議会,シズオカシシャカイフクシキョウギカイ,静岡県,静岡市葵区,静岡県静岡市葵区城内町１番１号,medical,care,2015-10-05,false,1145,,,https://www.shizuoka-shakyo.or.jp,054-254-5213,,https://www.shizuoka-shakyo.or.jp/inquiry,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9080005000070,社会福祉法人恒仁会,コウジンカイ,静岡県,静岡市葵区,静岡県静岡市葵区瀬名４７０１番９,medical,care,2015-10-05,false,,,,http://www.kojinkai-fukushi.com/rainbowsena,0547-57-1234,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6080005000065,社会福祉法人桂,カツラ,静岡県,静岡市葵区,静岡県静岡市葵区桂山７２３番地の６,medical,care,2015-10-05,false,194,,,http://www.c-katura.com,054-281-6960,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.c-katura.com/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3080002007586,あさひケアサービス有限会社,アサヒケアサービス,静岡県,静岡市葵区,静岡県静岡市葵区北安東５丁目５６番１０号,medical,care,2015-10-05,false,,,,,054-200-0130,,,国税庁 法人番号公表サイト,2023-10-25
3080005000076,社会福祉法人静岡厚生会,シズオカコウセイカイ,静岡県,静岡市葵区,静岡県静岡市葵区北番町１７番地５,medical,care,2015-10-05,false,161,,,http://www.shizuoka-kosei.or.jp,054-272-1100,,https://www.shizuoka-kosei.or.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3080001011341,セントケア静岡株式会社,セントケアシズオカ,静岡県,静岡市駿河区,静岡県静岡市駿河区南町６番１６号,medical,care,2015-10-05,false,447,,,http://www.saint-care.com,0538-21-0350,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7080005000072,社会福祉法人駿河会,スルガカイ,静岡県,静岡市葵区,静岡県静岡市葵区富沢１５４２番地の３９,medical,care,2015-10-05,false,,,,http://www.surugakai.net/rapo-homehelp/,054-659-7830,,https://www.surugakai.net/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6080005000073,社会福祉法人静和会,セイワカイ,静岡県,静岡市駿河区,静岡県静岡市駿河区丸子３０００番地の１,medical,care,2015-10-05,false,250,,,,054-257-3777,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7080001024579,株式会社介護事業所コスモス,カイゴジギョウショコスモス,静岡県,静岡市葵区,静岡県静岡市葵区瀬名７丁目３２番４１号,medical,care,2021-11-15,false,,,,http://care-net.biz/22/cosmos/,054-262-2527,,https://care-net.biz/22/cosmos/form.php?ref=https://care-net.biz/22/cosmos/form/request/request1.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8080001009686,株式会社まごころ介護サービス,マゴコロカイゴサービス,静岡県,静岡市駿河区,静岡県静岡市駿河区池田２２６番地の２,medical,care,2015-10-05,false,351,,,https://www.magokorokaigo.com/,0542855201,,https://www.magokorokaigo.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4080001011943,株式会社エポックケアサービス,エポックケアサービス,静岡県,静岡市葵区,静岡県静岡市葵区馬場町９番地田辺ビル２階,medical,care,2015-10-05,false,,,,https://epoch-care.net,054-653-7377,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8080001011031,ケア・フリー静岡株式会社,,静岡県,静岡市葵区,静岡県静岡市葵区沓谷４丁目４番１４号,medical,care|clinic|realestate,2015-10-05,false,,,,https://www.care-free.co.jp,0542676655,,https://www.care-free.co.jp/form/carefree/application,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9080005000104,社会福祉法人楽寿会,ラクジュカイ,静岡県,静岡市葵区,静岡県静岡市葵区与左衛門新田字広島７４番地６,medical,care,2015-10-05,false,,,,http://www.rakuju.or.jp,0542961111,info@rakuju.or.jp,mailto:info@rakuju.or.jp?Subject=%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9080005001242,医療法人社団秀慈会,シュウジカイ,静岡県,静岡市駿河区,静岡県静岡市駿河区西脇２９番地の１,medical,care|clinic,2015-10-05,false,345,,,https://shujikai.jp/,0542367272,,https://shujikai.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
