# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3470005000490,香川県厚生農業協同組合連合会,カガワケンコウセイノウギョウ,香川県,高松市,香川県高松市屋島西町２１０５番１７,agriculture,care|agriculture,2015-10-05,false,,,,,087-876-1066,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010001143325,東かがわ烏骨鶏ファーム株式会社,,香川県,東かがわ市,香川県東かがわ市入野山６８２番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001007351,株式会社近藤水産加工,,香川県,丸亀市,香川県丸亀市土器町北１丁目１９番地,agriculture,food-maker|agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001010594,株式会社三﨑水産,ミサキスイサン,香川県,三豊市,香川県三豊市詫間町詫間６７８４番地２１０,agriculture,agriculture,2015-10-05,false,109,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001010842,株式会社合田農園,ゴウダノウエン,香川県,観音寺市,香川県観音寺市豊浜町和田甲１１０７番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001011155,株式会社安岐水産,アキスイサン,香川県,さぬき市,香川県さぬき市津田町津田１４０２番地２３,agriculture,agriculture,2015-10-05,false,37,,,http://www.aki-mp.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001011543,引田浦水産株式会社,,香川県,東かがわ市,香川県東かがわ市引田２７６７番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001011659,株式会社中村水産,ナカムラスイサン,香川県,さぬき市,香川県さぬき市津田町津田１３９３番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-02
1470001011824,株式会社マンゴーファーム三豊,,香川県,三豊市,香川県三豊市豊中町笠田竹田７２１番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001012558,株式会社アンファーム,アンファーム,香川県,三豊市,香川県三豊市財田町財田上４９９２番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-09
1470001014117,大塩水産株式会社,オオシオスイサン,香川県,さぬき市,香川県さぬき市津田町鶴羽２１７５番地４,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001014273,ＰＯＮ・ＰＯＮファーム株式会社,,香川県,仲多度郡多度津町,香川県仲多度郡多度津町堀江４丁目３７３番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001014389,株式会社平尾ファーム,ヒラオファーム,香川県,丸亀市,香川県丸亀市綾歌町岡田上２４１７番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-21
1470001015503,株式会社竹田水産,,香川県,小豆郡小豆島町,香川県小豆郡小豆島町西村甲２３９８番地２,agriculture,agriculture,2016-01-06,false,,,,,,,,国税庁 法人番号公表サイト,2016-01-13
1470001017904,株式会社大谷いちご農園,オオタニイチゴノウエン,香川県,観音寺市,香川県観音寺市柞田町丁１４６番地,agriculture,agriculture,2020-02-26,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-26
