# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7470002010828,有限会社河田工務店,カワタコウムテン,香川県,綾歌郡綾川町,香川県綾歌郡綾川町滝宮１６３９番地１,construction,care|construction,2015-10-05,false,,,,,087-876-6757,,,国税庁 法人番号公表サイト,2019-11-01
1470001007987,株式会社小片建設,オガタケンセツ,香川県,善通寺市,香川県善通寺市中村町１９３７番地２,construction,care|construction,2015-10-05,false,,,,http://ogata.co.jp/hohoemi/,0877-63-4534,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4470001003802,松熊工業株式会社,マツクマコウギョウ,香川県,高松市,香川県高松市一宮町１１２７番地５,construction,care,2015-10-05,false,,,,https://matsukuma.net,087-886-2828,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5470002003065,有限会社寒川設備,サンガワセツビ,香川県,高松市,香川県高松市下田井町２０６番地２０,construction,care|construction,2015-10-05,false,,,,,087-847-5624,,,国税庁 法人番号公表サイト,2019-10-07
1470002010899,有限会社ハウスリフォーム,ハウスリフォーム,香川県,綾歌郡綾川町,香川県綾歌郡綾川町滝宮２９７番地４２,construction,care|realestate|construction,2015-10-05,false,,,,https://house2400.jimdo.com/,087-876-2400,,,国税庁 法人番号公表サイト,2019-10-01
2470002011764,有限会社新名防災設備,シンミョウボウサイセツビ,香川県,丸亀市,香川県丸亀市原田町２１６４番地１,construction,care|construction,2015-10-05,false,,,,,0877-32-0037,,,国税庁 法人番号公表サイト,2020-04-06
1010001247514,菱能量工業株式会社,ヒシノウリョウコウギョウ,香川県,高松市,香川県高松市田村町１０９５番地１,construction,,2024-08-16,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-02
1470001000001,石井建設株式会社,イシイケンセツ,香川県,香川郡直島町,香川県香川郡直島町３２９９番地３６,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-13
1470001000117,四国熱電工業株式会社,,香川県,高松市,香川県高松市牟礼町大町４５９番地３４,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001000141,日照工業株式会社,ニッショウコウギョウ,香川県,高松市,香川県高松市牟礼町原５６３番地２,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-26
1470001000166,株式会社屋島コンクリート工業,,香川県,高松市,香川県高松市牟礼町大町４５９番地２１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-21
1470001000380,アサヒ塗装機株式会社,アサヒトソウキ,香川県,高松市,香川県高松市郷東町１８番地１０,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-11
1470001000661,栄光建設株式会社,エイコウケンセツ,香川県,高松市,香川県高松市円座町８０７番地２,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-11
1470001000851,沖津電気工業株式会社,オキツデンキコウギョウ,香川県,高松市,香川県高松市宮脇町１丁目７番３０号,construction,,1959-11-12,false,,,代表取締役　榊原　靖貴,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001001156,株式会社川西設備,,香川県,高松市,香川県高松市松福町２丁目９番１５号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-04-19
1470001001164,株式会社川元工務店,カワモトコウムテン,香川県,高松市,香川県高松市木太町５１０９番地３,construction,construction,2018-05-24,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-17
1470001001180,株式会社技研工業,ギケンコウギョウ,香川県,高松市,香川県高松市成合町６７９番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-11
1470001001429,株式会社香西工務店,コウザイコウムテン,香川県,高松市,香川県高松市室町１９１９番地の１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001001453,香南建設株式会社,,香川県,高松市,香川県高松市仏生山町甲４０番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-15
1470001001593,株式会社坂井工務店,サカイコウムテン,香川県,高松市,香川県高松市円座町６１０番地５,construction,construction,2015-10-05,false,14,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001001684,三条板金塗装株式会社,,香川県,高松市,香川県高松市三条町１５４番地,construction,construction|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-18
1470001001759,サンヨーフォーム工業株式会社,サンヨーフォームコウギョウ,香川県,高松市,香川県高松市西植田町１２９番地７,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-03
1470001001833,四国研水工業株式会社,シコクケンスイコウギョウ,香川県,観音寺市,香川県観音寺市原町５１６,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-19
1470001002146,城東設備工業株式会社,ジョウトウセツビコウギョウ,香川県,高松市,香川県高松市寺井町２２２番地５,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-10
1470001002237,株式会社鈴丸建設,,香川県,高松市,香川県高松市前田東町１０４７番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-27
1470001002501,大一工業株式会社,ダイイチコウギョウ,香川県,高松市,香川県高松市西ハゼ町７番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-16
1470001002864,デザイン工業株式会社,デザインコウギョウ,香川県,高松市,香川県高松市三名町３２９番地６,construction,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001002906,東光電設工業株式会社,トウコウデンセツコウギョウ,香川県,高松市,香川県高松市新田町甲２１４５番地４,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-09
1470001002930,東讃建設株式会社,トウサンケンセツ,香川県,高松市,香川県高松市鶴市町５７３番地４,construction,construction,2015-10-05,false,17,,,https://tosan.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
