# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9470001010554,四国損害保険株式会社,シコクソンガイホケン,香川県,三豊市,香川県三豊市詫間町詫間６７８４番地９４,finance,care,2015-10-05,false,36,,,,0875-23-6033,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001002880,店舗リース株式会社,,香川県,高松市,香川県高松市瓦町２丁目９番地９,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-27
1470001005801,株式会社香川アセットファイナンス,,香川県,高松市,香川県高松市丸の内１１番１５号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-12-26
1470001007401,株式会社滝沢総合保険事務所,タキザワソウゴウホケンジムショ,香川県,丸亀市,香川県丸亀市土居町２丁目２番３２号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-18
1470001009521,株式会社フリースタイル,,香川県,仲多度郡多度津町,香川県仲多度郡多度津町大字三井８８２番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-19
1470001010181,協栄リース株式会社,キョウエイリース,香川県,観音寺市,香川県観音寺市大野原町花稲８３０番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-12
1470001011931,三陽総合保険サービス株式会社,,香川県,三豊市,香川県三豊市三野町吉津甲５３３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001013151,株式会社高松中央保険サービス,タカマツチュウオウホケンサービス,香川県,高松市,香川県高松市伏石町２０８３番地１４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-22
1470002000165,有限会社ニュー安田総合保険事務所,ニューヤスダソウゴウホケンジムショ,香川県,高松市,香川県高松市庵治町１５６番地１６１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-03
1470002001304,有限会社エイトファイナンス,,香川県,高松市,香川県高松市南新町８番地１６,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470002001519,有限会社大川保険代理店,,香川県,高松市,香川県高松市春日町１６９０番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470002001592,有限会社大橋損害保険事務所,,香川県,高松市,香川県高松市香西西町２７４番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470002005841,有限会社フジカン総合保険事務所,,香川県,高松市,香川県高松市塩上町２丁目２番１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-19
1470002007292,有限会社四建リース,ヨンケンリース,香川県,高松市,香川県高松市香西南町２７７番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-02
1470002010528,有限会社アイ保険サービス,,香川県,高松市,香川県高松市木太町１８６１番地１２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470002011609,有限会社国重保険事務所,クニシゲホケンジムショ,香川県,丸亀市,香川県丸亀市土器町東４丁目８５１番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-19
1470002014264,有限会社保険企画みらい,,香川県,善通寺市,香川県善通寺市木徳町４８７番地１,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470002017044,有限会社瀬戸大橋レンターリース,セトオオハシレンターリース,香川県,三豊市,香川県三豊市詫間町詫間２１１２番地１１１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-21
1470003001055,合同会社西讃保険サポート,,香川県,善通寺市,香川県善通寺市稲木町１２８４番地１,finance,,2016-02-08,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-15
1470003001939,合同会社白井秀和保険事務所,シライヒデカズホケンジムショ,香川県,高松市,香川県高松市牟礼町牟礼３６６番地１９,finance,,2021-04-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470005001045,香川県漁業信用基金協会,,香川県,高松市,香川県高松市北浜町９番１２号,finance,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-24
1470005006639,社会保険労務士法人大橋事務所,オオハシジムショ,香川県,仲多度郡琴平町,香川県仲多度郡琴平町榎井７５８番地４,finance,pro-services,2025-08-06,true,,,,,,,,国税庁 法人番号公表サイト,2025-08-06
1700150056332,四国電力健康保険組合,シコクデンリヨクケンコウホケンクミアイ,香川県,高松市,香川県高松市丸の内２－５,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2470001002145,株式会社信用社,シンヨウシャ,香川県,高松市,香川県高松市一宮町７０９番地５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-28
2470001005560,アイ・エスリース株式会社,,香川県,高松市,香川県高松市池田町４５７番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2470001007573,株式会社瀬戸リース,セトリース,香川県,丸亀市,香川県丸亀市今津町１９１番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-01
2470001013043,株式会社スライヴィングキャピタル,スライヴィングキャピタル,香川県,高松市,香川県高松市国分寺町福家甲９７７番地１０,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-30
2470001015007,株式会社黒木総合保険事務所,クロキソウゴウホケンジムショ,香川県,高松市,香川県高松市太田上町２３８番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-28
2470001018026,株式会社保険イノベーション,ホケンイノベーション,香川県,観音寺市,香川県観音寺市中田井町５２９番地２,finance,,2020-05-11,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-11
2470001020618,讃岐キャピタル株式会社,,香川県,高松市,香川県高松市中山町９番地１,finance,,2025-03-12,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-12
2470002002053,有限会社鎌田総合保険企画,カマダソウゴウホケンキカク,香川県,高松市,香川県高松市春日町１０２９番地３,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-12
2470002004198,有限会社第一信用信販,,香川県,高松市,香川県高松市塩上町３丁目１３番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-30
2470002005188,有限会社西日本損害保険企画,ニシニホンソンガイホケンキカク,香川県,高松市,香川県高松市楠上町２丁目６番１３号,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-08
2470002007969,有限会社高松保険コンサルタント,,香川県,高松市,香川県高松市多肥下町７２７番地１５,finance,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
