# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1470001003037,株式会社トラヤ食堂,トラヤショクドウ,香川県,高松市,香川県高松市木太町１１１９番地４,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-10
1470001004373,株式会社ナヤズダイニング,ナヤズダイニング,香川県,高松市,香川県高松市多肥下町１５５４番地３サーパス太田中央公園壱番館１４０５,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001008275,株式会社香川フードサービス,カガワフードサービス,香川県,丸亀市,香川県丸亀市山北町４３番地３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001011758,株式会社ステーキ食堂たまちゃん,ステーキショクドウタマチャン,香川県,高松市,香川県高松市木太町４１１６番地１６,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-26
1470001012376,ジャパン・フード＆リカー・アライアンス株式会社,ジャパンフードアンドリカーアライアンス,香川県,小豆郡小豆島町,香川県小豆郡小豆島町苗羽甲１８５０番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-21
1470001013077,うまかフードサービス株式会社,ウマカフードサービス,香川県,綾歌郡宇多津町,香川県綾歌郡宇多津町２６２８番地６２４,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-07
1470001014851,丸和フードサービス株式会社,マルワフードサービス,香川県,仲多度郡多度津町,香川県仲多度郡多度津町東港町１番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-07
1470001016336,株式会社サンフードサービス,,香川県,高松市,香川県高松市鬼無町佐料６２番６,food,restaurant,2017-05-31,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-08
1470001016501,株式会社ＭＴＮダイニング,エムティーエヌダイニング,香川県,高松市,香川県高松市鍛冶屋町２番地１０,food,restaurant,2017-09-04,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001018398,フードバズセールス西日本株式会社,フードバズセールスニシニホン,香川県,高松市,香川県高松市円座町８１６番地７,food,,2021-03-02,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-15
