# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5470001013296,株式会社あったかネット,アッタカネット,香川県,高松市,香川県高松市伏石町２０５０番地３０,it,care,2015-10-05,false,14,,,http://hp.kaipoke.biz/g0n/,087-813-5162,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5470005001529,特定非営利活動法人自立ケアシステム香川,ジリツケアシステムカガワ,香川県,高松市,香川県高松市田村町１２００番地１,it,care|it,2015-10-05,false,,,,,087-866-6317,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5470002018146,有限会社さぬきヒューネット,サヌキヒューネット,香川県,さぬき市,香川県さぬき市寒川町石田東甲１１３６番地６,it,care,2015-10-05,false,,,,http://www.sanuki-hyunet.com,0879-23-6572,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9470005005402,一般社団法人在宅療養ネットワーク,ザイタクリョウヨウネットワーク,香川県,高松市,香川県高松市松島町２丁目１２番８号,it,care,2015-10-05,false,14,,,https://ryouyounet.org,087-802-2237,,https://ryouyounet.org/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5470001014749,株式会社トータルライフネット,トータルライフネット,香川県,仲多度郡まんのう町,香川県仲多度郡まんのう町吉野２１８９番地１,it,care,2015-10-05,false,,,,,0877-89-0250,,,国税庁 法人番号公表サイト,2024-11-28
1030002071969,有限会社ＡＧシステムズ,,香川県,三豊市,香川県三豊市詫間町詫間７３０番地１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-04-18
1470001001197,株式会社北風建テック,キタカゼケンテック,香川県,高松市,香川県高松市香西南町４５７番地１１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-06
1470001001404,建電システム株式会社,ケンデンシステム,香川県,高松市,香川県高松市上福岡町９０７番地１３,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-24
1470001002088,株式会社システム・エコー,,香川県,高松市,香川県高松市屋島西町２４７３番地１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001002311,株式会社瀬戸内コムテック,セトウチコムテック,香川県,高松市,香川県高松市新田町甲２４８３番地６,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001002872,株式会社デジタル・キャロル,デジタルキャロル,香川県,高松市,香川県高松市栗林町１丁目８番１２号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-11
