# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1470001001940,ロジスネクスト四国株式会社,ロジスネクストシコク,香川県,高松市,香川県高松市御厩町１６４５番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-06
1470001002121,香川漁連運輸株式会社,カガワギョレンウンユ,香川県,高松市,香川県高松市北浜町８番２５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-04
1470001002484,高松臨港倉庫株式会社,タカマツリンコウソウコ,香川県,高松市,香川県高松市朝日新町２３番２４号,logistics,logistics,1929-05-23,false,134,,代表取締役　山田　英之,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001003714,株式会社豊榮物流,ホウエイブツリュウ,香川県,高松市,香川県高松市円座町１６１４番地８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-10
1470001004118,株式会社山口運輸,ヤマグチウンユ,香川県,高松市,香川県高松市城東町２丁目１６番１７号,logistics,logistics,1986-12-23,false,22,,代表取締役　山口　幸二,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001004844,株式会社プロジェ高松,プロジェタカマツ,香川県,高松市,香川県高松市松島町１丁目９番３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-21
1470001005289,富士運送株式会社,フジウンソウ,香川県,高松市,香川県高松市国分寺町福家乙１番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-05
1470001006428,株式会社大栄運輸,タイエイウンユ,香川県,高松市,香川県高松市牟礼町原２５１８番地８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-03
1470001006618,中四国ロジスティクス株式会社,チュウシコクロジスティクス,香川県,高松市,香川県高松市朝日町６丁目５７１番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-28
1470001006865,株式会社誠和運輸,セイワウンユ,香川県,綾歌郡綾川町,香川県綾歌郡綾川町小野甲３８３番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-17
1470001007013,株式会社Ｖライン運輸,,香川県,綾歌郡綾川町,香川県綾歌郡綾川町陶７０１９番地５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001007681,丸高運送株式会社,マルタカウンソウ,香川県,丸亀市,香川県丸亀市土器町北２丁目９６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-21
1470001007797,瀬戸内物流株式会社,,香川県,綾歌郡宇多津町,香川県綾歌郡宇多津町浜九番丁１４８番地９,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001009125,トーヨー物流株式会社,トーヨーブツリュウ,香川県,坂出市,香川県坂出市沖の浜３０番７０,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-13
1470001009141,日扇運輸株式会社,ニッセンウンユ,香川県,坂出市,香川県坂出市江尻町４８３番地２５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-13
1470001009934,三和物流株式会社,サンワブツリュウ,香川県,観音寺市,香川県観音寺市昭和町３丁目３番１５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-01
1470001010958,四国明治大和倉庫株式会社,シコクメイジヤマトソウコ,香川県,三豊市,香川県三豊市財田町財田上１３２８番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-13
1470001011080,株式会社広真物流,コウシンブツリュウ,香川県,さぬき市,香川県さぬき市志度２８６１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-22
1470002000074,有限会社あじさい運送,,香川県,高松市,香川県高松市庵治町６３９１番地１２５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470002002384,有限会社極東運輸,キョクトウウンユ,香川県,高松市,香川県高松市東山崎町３４７番地７,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-28
1470002003647,上翔運輸有限会社,,香川県,高松市,香川県高松市川部町９２９番地１９,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
