# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5470001006721,株式会社ドルフィン不動産,ドルフインフドウサン,香川県,高松市,香川県高松市木太町１５８２番地１,realestate,care|realestate,2015-10-05,false,,,,http://www.dolphin-takamatsu.jp/index.html,087-891-1221,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7470002002453,有限会社國村不動産,,香川県,高松市,香川県高松市上福岡町１２４０番地,realestate,care|realestate,2015-10-05,false,,,,http://www.k2.dion.ne.jp/^ainosato/,087-837-2188,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5470002011118,有限会社れんげハウス,,香川県,木田郡三木町,香川県木田郡三木町大字井戸１２９１番地１,realestate,care|realestate,2015-10-05,false,,,,http://rengehouse.com,087-899-6703,,,国税庁 法人番号公表サイト,2015-11-27
2470001015519,株式会社パレットハウスにしべり,パレットハウスニシベリ,香川県,さぬき市,香川県さぬき市長尾東８２３番地１,realestate,care|realestate,2016-01-19,false,,,,,0879-49-1750,,,国税庁 法人番号公表サイト,2019-04-10
1320002012076,有限会社ニュー丸三住宅開発,ニューマルサンジュウタクカイハツ,香川県,高松市,香川県高松市新北町２１番６号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-07
1470001000414,アップルハウス株式会社,,香川県,高松市,香川県高松市上福岡町２０５５番地７,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001000629,植本不動産株式会社,ウエモトフドウサン,香川県,高松市,香川県高松市内町３番１１号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-28
1470001003086,中庭住宅株式会社,ナカニワジュウタク,香川県,高松市,香川県高松市木太町３８３９番地７,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-21
1470001003490,日之出分譲住宅株式会社,ヒノデブンジョウジュウタク,香川県,高松市,香川県高松市屋島東町１０９５番地７２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-03
1470001003524,株式会社広瀬住宅総合サービス,ヒロセジュウタクソウゴウサービス,香川県,高松市,香川県高松市末広町６番地９,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001004539,アットホーム株式会社,,香川県,高松市,香川県高松市東植田町１７３３－４,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001005017,株式会社プラスホーム,プラスホーム,香川県,高松市,香川県高松市福岡町４丁目２８番３０号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-30
1470001005768,株式会社ひだまり不動産,ヒダマリフドウサン,香川県,高松市,香川県高松市観光町５３６番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001005792,株式会社フォレストホーム,フォレストホーム,香川県,高松市,香川県高松市木太町３５９１番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-11
1470001006502,株式会社セゾンホームサービス,,香川県,高松市,香川県高松市木太町１１６６番地３,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1470001006956,大和住宅株式会社,,香川県,木田郡三木町,香川県木田郡三木町大字池戸３３９２番地の７,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-19
1470001007368,大建住宅株式会社,ダイケンジュウタク,香川県,丸亀市,香川県丸亀市郡家町１０３２番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1470001007905,株式会社スタイルハウス,スタイルハウス,香川県,仲多度郡多度津町,香川県仲多度郡多度津町大字葛原１４１４番地８,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-06
1470001008102,株式会社富士不動産,フジフドウサン,香川県,善通寺市,香川県善通寺市仙遊町１丁目５番１３号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-21
1470001008993,三洋不動産株式会社,サンヨーフドウサン,香川県,坂出市,香川県坂出市京町１丁目６番３７号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-19
1470001009026,株式会社四国不動産総合研究所,シコクフドウサンソウゴウケンキュウショ,香川県,坂出市,香川県坂出市久米町１丁目２２番４５号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-12
1470001009298,株式会社エヌ・ワイエステート,エヌワイエステート,香川県,坂出市,香川県坂出市西大浜北４丁目５番２５号,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-14
