# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1490001004033,株式会社高知会計サービス,コウチカイケイサービス,高知県,高知市,高知県高知市南御座４番８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-28
1490001004347,株式会社エコ四国コンサルタント,,高知県,高知市,高知県高知市みづき２丁目２７０４番地３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490001007944,株式会社ＣＤＲコンサルタンツ,,高知県,高知市,高知県高知市万々２２９番地５,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490001008166,株式会社間城会計,,高知県,高知市,高知県高知市新本町２丁目１番１号ファーストステージ２０２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490001010386,株式会社アース・イノベーションコンサルタント,,高知県,高知市,高知県高知市堺町１４番４号チャレンジ７０ビル３０１,consulting,pro-services,2023-01-25,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-25
1490001011302,株式会社メインコンサルタント,メインコンサルタント,高知県,高知市,高知県高知市塩屋崎町１丁目４番１０号パークアヴェニュー塩屋崎１階１０３,consulting,pro-services,2026-03-16,true,,,,,,,,国税庁 法人番号公表サイト,2026-05-19
1490002000295,有限会社アートコンサルタント,,高知県,高知市,高知県高知市福井町１２０６番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490002003521,有限会社土佐設計コンサルタント,,高知県,高知市,高知県高知市朝倉戊１２９２番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490002005014,有限会社ミツワコンサルタント,,高知県,高知市,高知県高知市入明町７番１６号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490002005666,有限会社ロードコンサルタント,ロードコンサルタント,高知県,高知市,高知県高知市梅ノ辻９番１３号アーバンハイツ梅ノ辻１Ｆ,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-20
1490002007555,有限会社みづきコンサルタント,ミヅキコンサルタント,高知県,高知市,高知県高知市長浜６２３番７,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-01
1490002008306,有限会社協同技術コンサルタント,キョウドウギジュツコンサルタント,高知県,四万十市,高知県四万十市不破２０８２番地１４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-17
1490002008388,有限会社四万十川会計事務所,,高知県,四万十市,高知県四万十市右山天神町３番１４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490003000336,合同会社Ｇ＆Ｋコンサルタント,,高知県,高知市,高知県高知市塚ノ原１２８番地６３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490005006447,土佐税理士法人,,高知県,高知市,高知県高知市西秦泉寺１８９番地４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
