# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1490001000528,株式会社栗田フードビジネス,クリタフードビジネス,高知県,高知市,高知県高知市東秦泉寺１２０番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-05
1490001004578,株式会社フードメイク,フードメイク,高知県,南国市,高知県南国市田村乙２０９３番地３,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-29
1490001004751,株式会社ダイニング山下,,高知県,高知市,高知県高知市追手筋１丁目９番１５号ヤマシタビル１Ｆ,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490002007258,有限会社セントラルフードやまもと,セントラルフードヤマモト,高知県,高知市,高知県高知市和泉町８番８号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1490002011788,高知フードサービス有限会社,,高知県,南国市,高知県南国市大埇甲１４８３番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-31
1490003000864,合資会社三玉食堂,,高知県,土佐清水市,高知県土佐清水市清水５０１番９号地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490005000854,高知県喫茶飲食生活衛生同業組合,コウチケンキッサインショク,高知県,高知市,高知県高知市南はりまや町１丁目９番８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-21
1500001021357,株式会社カラーズダイニング,カラーズダイニング,高知県,高知市,高知県高知市海老ノ丸８番１４号,food,restaurant,2018-05-14,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-11
2290001062257,株式会社サンエイフードサービス,サンエイフードサービス,高知県,高知市,高知県高知市大津乙１７５番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-21
2490001004775,旭フードサービス株式会社,アサヒフードサービス,高知県,高知市,高知県高知市春野町弘岡中１４０２番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-06
2490002005649,有限会社レストランアツコ,,高知県,高知市,高知県高知市幸崎１３番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2490002009006,西日本シーフード有限会社,,高知県,宿毛市,高知県宿毛市自由ケ丘６番１６号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2490003000203,合資会社なかむら食堂,,高知県,高知市,高知県高知市西紺屋町１５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2490003001861,ウェスタフードサービス合同会社,ウェスタフードサービス,高知県,高知市,高知県高知市薊野中町１５番９号高知インターマンション１０１号,food,restaurant,2024-01-29,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-29
2490005007023,ＮＰＯ法人高知県防災キッチンカー協会,コウチケンボウサイキッチンカーキョウカイ,高知県,高知市,高知県高知市薊野北町２丁目１５番１２号,food,restaurant,2026-02-03,true,,,,,,,,国税庁 法人番号公表サイト,2026-02-03
3490001007835,株式会社サンショウダイニング,サンショウダイニング,高知県,高知市,高知県高知市高見町２６６番地１サンコート高見１Ｆ,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-19
3490002000483,有限会社一心食堂,,高知県,高知市,高知県高知市弘化台１２番地１２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-23
3490002003263,有限会社ＩＺＵフードビジネス,,高知県,高知市,高知県高知市鴨部１丁目１９番３５号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
4490001008477,株式会社ジャパンダイニング,ジャパンダイニング,高知県,高知市,高知県高知市天神町１３番１４号,food,restaurant,2016-10-06,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4490001009178,株式会社ダイニングエクスペリエンス,,高知県,高知市,高知県高知市帯屋町１丁目１４番１５号,food,restaurant,2019-02-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-14
4490001010573,株式会社ＫＥダイニング,ケーイーダイニング,高知県,南国市,高知県南国市大埇甲１４５０番地１,food,restaurant,2023-08-30,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-30
4490002001860,有限会社きただフード,キタダフード,高知県,高知市,高知県高知市堺町４番６号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-13
4490002006109,有限会社食堂計画,,高知県,高知市,高知県高知市知寄町１丁目３番２５号コオキマンション１階西,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-29
4490002007412,有限会社くろしおフードサービス,,高知県,高知市,高知県高知市はりまや町１丁目６番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
4490002011876,有限会社ドリームキッチン,,高知県,南国市,高知県南国市白木谷３２４２番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
5490001004087,株式会社ワールドキッチンサービス,,高知県,高知市,高知県高知市永国寺町６番４０号セブンシーズ永国寺１Ｆ,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
5490001005250,株式会社マンキヤダイニング,マンキヤダイニング,高知県,宿毛市,高知県宿毛市駅前町１丁目３０２番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5490001007569,株式会社高知フードサービス,,高知県,高知市,高知県高知市本町５丁目６番４８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-21
5490002004359,有限会社ヒロコ食堂,,高知県,高知市,高知県高知市弘化台１２番１２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
5490003000225,合資会社本みかど食堂,,高知県,高知市,高知県高知市西紺屋町２２番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
5490003001529,合同会社タナカフェ,タナカフェ,高知県,高知市,高知県高知市知寄町２丁目４番１０－９０１号,food,restaurant,2021-04-07,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-01
6490001003807,株式会社カフェレスト・ユートピア,,高知県,高知市,高知県高知市一宮中町１丁目３番２３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
6490001004524,ダイニングプランナー株式会社,ダイニングプランナー,高知県,高知市,高知県高知市帯屋町１丁目９番１８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6490002007765,有限会社キッチンまりむら,,高知県,高知市,高知県高知市長浜５８７０番地５,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
6490002010364,有限会社ジェイアンドケイベジタブルフード,ジェイアンドケイベジタブルフード,高知県,土佐市,高知県土佐市高岡町甲４１番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-19
6490005000858,高知県社交飲食業生活衛生同業組合,,高知県,高知市,高知県高知市帯屋町１丁目１３番８号アルカビル５Ｆ,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6490005006509,一般社団法人高知県飲食観光事業協会,コウチケンインショクカンコウジギョウキョウカイ,高知県,高知市,高知県高知市はりまや町２丁目１番１１号,food,restaurant,2017-02-28,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-13
7490001005141,マスタニフード株式会社,,高知県,宿毛市,高知県宿毛市和田５２２番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-24
7490001008557,株式会社ライフキッチンプロジェクト,ライフキッチンプロジェクト,高知県,高知市,高知県高知市帯屋町２丁目４番１号,food,restaurant|logistics,2017-01-16,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-15
7490001008821,株式会社ココレアダイニング,ココレアダイニング,高知県,四万十市,高知県四万十市中村一条通４丁目１５番地,food,restaurant,2017-11-17,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-09
7490001010414,株式会社いしはらキッチン,イシハラキッチン,高知県,土佐郡土佐町,高知県土佐郡土佐町西石原１７２番地,food,restaurant,2023-03-06,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-06
8490001005561,株式会社フードプラン,フードプラン,高知県,吾川郡仁淀川町,高知県吾川郡仁淀川町土居乙１９９番地１一ノ谷総合開発団地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8490001006048,株式会社ローカルカラーズダイニング,ローカルカラーズダイニング,高知県,四万十市,高知県四万十市中村栄町３９番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-10
8490001006931,株式会社ダイニング惠,ダイニングメグミ,高知県,安芸郡奈半利町,高知県安芸郡奈半利町乙１３６０番地４,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-25
8490002004686,ヤマホフードサービス有限会社,,高知県,高知市,高知県高知市五台山字北タナスカ５０２１番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
