# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6490005001724,社会福祉法人ネットファミリー,ネットファミリー,高知県,高知市,高知県高知市介良乙８８３番地２,it,care,2015-10-05,false,,,,http://www.netfamily.jp/,088-878-7588,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
8490002010354,有限会社四国総合介護システム,シコクソウゴウカイゴシステム,高知県,土佐市,高知県土佐市高岡町乙３２３４番地１,it,care|it,2015-10-05,false,,,,https://www.nishida-ph.net,088-828-5288,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2490002013065,有限会社ケアネットサービス,ケアネットサービス,高知県,室戸市,高知県室戸市佐喜浜町３５８９番地１,it,care,2015-10-05,false,,,,,０８８７-９８-７０２６,,,国税庁 法人番号公表サイト,2022-03-02
7490002007847,有限会社介護ネットサービス,カイゴネットサービス,高知県,高知市,高知県高知市葛島１丁目１０番５７号,it,care,2015-10-05,false,,,,http://hp.kaipoke.biz/86h/,088－879－8145,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1490001001311,システム空調株式会社,システムクウチョウ,高知県,高知市,高知県高知市介良乙８２２番地６,it,it,1982-12-21,false,,,代表取締役　河崎　崇,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1490001001815,パシフィックソフトウエア開発株式会社,パシフィックソフトウェアカイハツ,高知県,高知市,高知県高知市本宮町１０５番地２２,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1490001001864,株式会社パルネットコーポレーション,パルネットコーポレーション,高知県,南国市,高知県南国市領石２４６番地,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-06
1490001001922,株式会社ラボネットワーク,ラボネットワーク,高知県,高知市,高知県高知市本町４丁目１番１６号,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1490001003811,株式会社エヌテック,,高知県,高知市,高知県高知市朝倉己１２１２番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490001006541,さくらシステム株式会社,サクラシステム,高知県,南国市,高知県南国市岡豊町笠ノ川２７１番地の２,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-16
1490001006797,株式会社高東ソフトウェアサービス,コウトウソフトウェアサービス,高知県,安芸市,高知県安芸市赤野乙９１５番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-07
1490001007011,アルバシステム株式会社,アルバシステム,高知県,香南市,高知県香南市野市町西佐古４８４番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-28
1490001007102,株式会社ＡＧ・ネットワーク,,高知県,高知市,高知県高知市高須３丁目７番１号,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-06
1490001010774,構営テック株式会社,コウエイテック,高知県,高知市,高知県高知市城北町３番５号,it,it,2024-05-22,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-22
1490002002283,有限会社サテライト・ネットワーク四国,,高知県,高知市,高知県高知市城山町６番地３,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490002002473,有限会社情報システム,,高知県,高知市,高知県高知市薊野南町２８番８号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490002003158,ヘルスコ・テック有限会社,,高知県,高知市,高知県高知市長浜３８８８－５,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490002005781,有限会社サイバーソフト,,高知県,高知市,高知県高知市加賀野井１丁目１７番１３号,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490002005971,有限会社テック高知,,高知県,高知市,高知県高知市南ノ丸町５８番地１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
