# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4490005004241,医療法人みずほ会,ミズホカイ,高知県,須崎市,高知県須崎市多ノ郷甲５７４８番地１,medical,care|clinic,2015-10-05,false,300,,,http://kochi-mizuho.com/index.php,088-840-3331,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7490005002580,医療法人互生会,,高知県,宿毛市,高知県宿毛市平田町戸内１８０２番地,medical,care|clinic,2015-10-05,false,,,,http://www.goseikai.jp/tomariya.html,048-963-1137,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8490005004709,社会福祉法人藤寿会,トウジュカイ,高知県,南国市,高知県南国市大埇乙１０７２番の１,medical,care,2015-10-05,false,314,,,http://www.toujukai.jp/,03-5876-1212,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4490005000711,医療法人山村会,ヤマムラカイ,高知県,高知市,高知県高知市下島町１０６番地,medical,care|clinic,2015-10-05,false,156,,,http://yamamurakai.com/,0888725038,,http://yamamurakai.com/contact.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
7490005000626,社会医療法人仁生会,ジンセイカイ,高知県,高知市,高知県高知市越前町１丁目１０番１７号,medical,care|clinic,2015-10-05,false,1154,,,https://www.hosogi-hospital.jp/recruitment.htm,088-878-4000,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8490005001342,高知県高齢者福祉生活協同組合,コウチケンコウレイシャフクシセイカツキョウドウクミアイ,高知県,高知市,高知県高知市河ノ瀬町３０番地１,medical,care,2015-10-05,false,,,,http://kochi.koreikyo.jp/,088-840-2271,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2490005006280,一般社団法人高知在宅ケア支援センター,コウチザイタクケアシエンセンター,高知県,高知市,高知県高知市百石町４丁目２２番１０号,medical,care,2015-10-05,false,,,,http://kochi-zaitaku.or.jp/,088-855-7887,,http://kochi-zaitaku.or.jp/contact.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
8490005000699,医療法人防治会,ボウチカイ,高知県,高知市,高知県高知市薊野北町２丁目１０番５３号,medical,care|clinic,2015-10-05,false,597,,,http://www.izumino.or.jp/,0888265511,,http://www.izumino.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
7490005000337,社会福祉法人高知市社会福祉協議会,コウチシシャカイフクシキョウギカイ,高知県,高知市,高知県高知市丸ノ内１丁目７番４５号,medical,care,2015-10-05,false,,,,http://www.kochi-csw.or.jp/,088-823-9515,,http://www.kochi-csw.or.jp/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7490005000675,医療法人永島会,ナガシマカイ,高知県,高知市,高知県高知市春野町西分２０２７番地３,medical,care|clinic,2015-10-05,false,179,,,http://www.nagai-hp.com/zaitaku.html,088-894-6611,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5490005000371,社会福祉法人ふるさと会,フルサトカイ,高知県,高知市,高知県高知市横浜２０番１,medical,care,2015-10-05,false,,,,http://herupa-yokohama.jimdo.com/,088-840-7007,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9490005000731,医療法人さくらの里,サクラノサト,高知県,高知市,高知県高知市九反田２番１４号,medical,care|clinic,2015-10-05,false,232,,,http://www.daiichi-hp.jp/,088-882-0811,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5490005000636,医療法人恕泉会,ジョセンカイ,高知県,高知市,高知県高知市塚ノ原３７番地,medical,care|clinic,2015-10-05,false,468,,,http://uchida.jyosenkai.jp,088-843-1002,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
7490005000766,医療法人弘仁会,コウジンカイ,高知県,高知市,高知県高知市神田６６０番地７,medical,care|clinic,2015-10-05,false,,,,http://www.kochikc.co.jp/okabayashihp/,088-837-0373,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
3490001007125,株式会社介護塾,,高知県,高知市,高知県高知市神田１２７番地１,medical,care,2015-10-05,false,,,,,088-834-1880,,,国税庁 法人番号公表サイト,2015-11-27
6490005000841,高知医療生活協同組合,コウチイリョウ,高知県,高知市,高知県高知市口細山２０６番地９,medical,care|clinic,2015-10-05,false,276,,,,0880-37-3336,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
