# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3490003000771,合同会社スマートケアグループ,スマートケアグループ,高知県,高知市,高知県高知市瀬戸南町２丁目３－６,retail,care,2015-10-05,false,,,,,088-841-4245,,,国税庁 法人番号公表サイト,2022-05-02
4490002011752,有限会社スーパーストア冨士屋,,高知県,南国市,高知県南国市後免町２丁目１番１９号,retail,care|retail,2015-10-05,false,,,,,088-864-3799,,,国税庁 法人番号公表サイト,2015-11-27
4490001001093,株式会社サニーマート,サニーマート,高知県,高知市,高知県高知市山手町８１番地,retail,care,2015-10-05,false,2234,,,https://joyreha.co.jp,088-880-5711,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8490001000414,高知スズキ販売株式会社,コウチスズキハンバイ,高知県,高知市,高知県高知市萩町１丁目５番３８号,retail,care,2015-10-05,false,,,,,088-831-4161,,,国税庁 法人番号公表サイト,2026-02-04
5490002010266,有限会社五月商事,サツキショウジ,高知県,土佐市,高知県土佐市高岡町甲２０６５番地２,retail,care|wholesale,2015-10-05,false,,,,,088-852-5557,,,国税庁 法人番号公表サイト,2018-09-12
7490002010248,有限会社三愛商事,,高知県,土佐市,高知県土佐市高岡町甲１６８４番地５,retail,care|wholesale,2015-10-05,false,,,,,088-854-1520,,,国税庁 法人番号公表サイト,2015-11-27
4490002002025,有限会社栄大商事,,高知県,高知市,高知県高知市下島町１０番地,retail,care|wholesale,2015-10-05,false,,,,,088-802-2700,,,国税庁 法人番号公表サイト,2015-11-27
1490001000379,開発商事株式会社,カイハツショウジ,高知県,高知市,高知県高知市介良甲１０７４番地２,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-04
1490001000478,協和物産株式会社,,高知県,高知市,高知県高知市農人町５番３５号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1490001000494,株式会社久寿屋商事,クスヤショウジ,高知県,高知市,高知県高知市南久保１３番６号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-18
