# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9270001006060,株式会社ウィルファーム,ウィルファーム,鳥取県,鳥取市,鳥取県鳥取市覚寺６１番地２,agriculture,care|agriculture,2015-10-05,false,,,,https://www.kiramekikan.com,0857-30-7608,,,国税庁 法人番号公表サイト,2023-09-08
1270001002397,日本農業資材株式会社,ニホンノウギョウシザイ,鳥取県,鳥取市,鳥取県鳥取市国府町三代寺７７４番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-11
1270001002686,株式会社エコ・ファーム鳥取,エコファームトットリ,鳥取県,鳥取市,鳥取県鳥取市港町６２番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001002728,株式会社恵長水産,ケイチョウスイサン,鳥取県,岩美郡岩美町,鳥取県岩美郡岩美町大字大谷２１８２番地５１８,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-14
1270001003131,岩尾水産乾物株式会社,イワオスイサンカンブツ,鳥取県,米子市,鳥取県米子市旗ヶ崎１丁目３番１号,agriculture,agriculture,2018-12-20,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-01
1270001003197,株式会社河端水産,カワバタスイサン,鳥取県,米子市,鳥取県米子市米原９丁目２番６号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-23
1270001003817,東海漁業株式会社,トウカイギョギョウ,鳥取県,境港市,鳥取県境港市栄町６５番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-07
1270001004435,株式会社増田林業,マスダリンギョウ,鳥取県,日野郡日南町,鳥取県日野郡日南町神福４０６番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-24
1270001005581,株式会社柳谷ファーム,ヤナギタニファーム,鳥取県,米子市,鳥取県米子市下新印１２０６番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001005680,株式会社ファームイング,ファームイング,鳥取県,日野郡日南町,鳥取県日野郡日南町印賀２１８８番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001005714,株式会社大山農業振興,,鳥取県,米子市,鳥取県米子市淀江町平岡１８番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270001005821,株式会社浜下水産,,鳥取県,鳥取市,鳥取県鳥取市賀露町西３丁目１３番３７号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-26
1270001006134,株式会社コミュニティファーム,,鳥取県,西伯郡伯耆町,鳥取県西伯郡伯耆町上野７６１番地８,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001006621,株式会社あおぞら農園,,鳥取県,八頭郡八頭町,鳥取県八頭郡八頭町米岡９９番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270001007041,近藤林業株式会社,,鳥取県,鳥取市,鳥取県鳥取市浜坂３丁目１８番１１号,agriculture,agriculture,2016-08-24,false,,,,,,,,国税庁 法人番号公表サイト,2016-08-29
1270001007090,株式会社山田農園,ヤマダノウエン,鳥取県,八頭郡若桜町,鳥取県八頭郡若桜町大字高野７８９番地,agriculture,agriculture,2016-11-08,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001007157,株式会社寳勝水産,,鳥取県,岩美郡岩美町,鳥取県岩美郡岩美町大字網代１１８番地１４６,agriculture,agriculture,2017-02-06,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-09
1270001007974,株式会社メイワファームＨＹＢＲＩＤ,メイワファームハイブリッド,鳥取県,鳥取市,鳥取県鳥取市晩稲３０７番地,agriculture,agriculture,2020-04-13,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001008840,株式会社Ｓｅｅｄファーム,シードファーム,鳥取県,西伯郡南部町,鳥取県西伯郡南部町阿賀１１１番地,agriculture,agriculture,2023-09-19,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-19
1270001009062,サカタ水産株式会社,サカタ,鳥取県,米子市,鳥取県米子市皆生３丁目７番３４号,agriculture,agriculture,2024-10-04,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-04
1270002002421,有限会社大友水産,,鳥取県,岩美郡岩美町,鳥取県岩美郡岩美町大字大谷２１８２番地２９２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270002002487,日光水産有限会社,,鳥取県,岩美郡岩美町,鳥取県岩美郡岩美町大字田後４９９番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-29
1270002002801,有限会社鳥取レイクファーム,トットリレイクファーム,鳥取県,鳥取市,鳥取県鳥取市湖山町南４丁目６０５番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-11
