# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6270002007812,有限会社大東工業,ダイトウコウギョウ,鳥取県,境港市,鳥取県境港市財ノ木町１０６０番地３,construction,care,2015-10-05,false,,,,https://www.daito-family.com/company,0859-45-6683,,https://www.daito-family.com/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9270002009376,有限会社ホームケア渡部建築,ホームケアワタナベケンチク,鳥取県,米子市,鳥取県米子市大崎２９０番地１,construction,care|realestate|construction,2015-10-05,false,,,,https://www.homecarewatanabe.com/,0859-28-8487,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3270001005150,株式会社アオキ建設,アオキケンセツ,鳥取県,倉吉市,鳥取県倉吉市関金町郡家７２１番地１,construction,care|construction,2015-10-05,false,,,,,0858-45-1010,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001096923,西武ハウス工業株式会社,セイブハウスコウギョウ,鳥取県,鳥取市,鳥取県鳥取市立川町６丁目６５０番地１,construction,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-06
1270001000038,飛鳥建設株式会社,,鳥取県,鳥取市,鳥取県鳥取市数津３８番地９,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270001000070,株式会社一条工務店山陰,イチジョウコウムテンサンイン,鳥取県,鳥取市,鳥取県鳥取市吉方１９０番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-27
1270001000426,株式会社高木建設,タカギケンセツ,鳥取県,鳥取市,鳥取県鳥取市吉方温泉２丁目６３０番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-06
1270001000450,株式会社中国工業,,鳥取県,鳥取市,鳥取県鳥取市田島７３６番地２,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-21
1270001000657,博建設株式会社,,鳥取県,鳥取市,鳥取県鳥取市賀露町北３丁目６番２９号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-22
1270001001003,福上工業株式会社,フクガミコウギョウ,鳥取県,岩美郡岩美町,鳥取県岩美郡岩美町大字新井５５０番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001001011,サンライズ工業株式会社,サンライズコウギョウ,鳥取県,鳥取市,鳥取県鳥取市国府町庁１１７番地の１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001002199,かわにし建設株式会社,カワニシケンセツ,鳥取県,八頭郡八頭町,鳥取県八頭郡八頭町才代１３２番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-19
1270001002389,株式会社谷口工務店,タニグチコウムテン,鳥取県,八頭郡智頭町,鳥取県八頭郡智頭町大字南方１１２８番地２１,construction,construction,2015-10-05,false,26,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001002463,幸成工業株式会社,コウセイコウギョウ,鳥取県,鳥取市,鳥取県鳥取市大杙２２９番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-20
1270001002637,株式会社藤工業,フジコウギョウ,鳥取県,鳥取市,鳥取県鳥取市気高町宝木１００５番地２,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-02
1270001002703,株式会社田嶋工業,タシマコウギョウ,鳥取県,鳥取市,鳥取県鳥取市国府町中郷５５番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-24
1270001003164,株式会社オーク建設,オークケンセツ,鳥取県,米子市,鳥取県米子市加茂町２丁目１１３番地加茂町ビル２０３号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-18
1270001003239,株式会社工匠建築設計研究所,,鳥取県,米子市,鳥取県米子市旗ヶ崎１丁目１４番５３号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270001003313,株式会社松和建設,ショウワケンセツ,鳥取県,米子市,鳥取県米子市米原７丁目２番１号,construction,construction,1972-03-30,false,,,代表取締役　松浦　常明,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001003569,株式会社堀尾建築設計事務所,ホリオケンチクセッケイジムショ,鳥取県,米子市,鳥取県米子市新開６丁目１３番２９号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-30
1270001003619,安田水道建設株式会社,,鳥取県,米子市,鳥取県米子市大篠津町７４１番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-22
1270001003684,山陰緑化建設株式会社,サンインリョクカケンセツ,鳥取県,米子市,鳥取県米子市陰田町６５７番地１８,construction,construction,1976-01-12,false,,,代表取締役　西谷　勝之,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001003833,野々村電機工業株式会社,ノノムラデンキコウギョウ,鳥取県,境港市,鳥取県境港市大正町５８番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-27
1270001004988,北村電気工業株式会社,キタムラデンキコウギョウ,鳥取県,倉吉市,鳥取県倉吉市旭田町３６番地,construction,,1947-06-13,false,,,代表取締役　朝倉　真一,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001004996,倉吉管機工業株式会社,クラヨシカンキコウギョウ,鳥取県,倉吉市,鳥取県倉吉市福庭町１丁目５７３番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001005004,倉吉建設株式会社,,鳥取県,倉吉市,鳥取県倉吉市宮川町１２９番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270001005020,寿土木株式会社,コトブキドボク,鳥取県,倉吉市,鳥取県倉吉市駄経寺町６０番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-09
1270001005045,高砂工業株式会社,,鳥取県,倉吉市,鳥取県倉吉市広栄町８８９番地９,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270001005094,早田設備株式会社,ハヤタセツビ,鳥取県,倉吉市,鳥取県倉吉市和田東町１１５番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001005193,日総工業株式会社,ニッソウコウギョウ,鳥取県,東伯郡北栄町,鳥取県東伯郡北栄町江北４７３番地４,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-04
1270001005350,大和設備倉吉株式会社,ダイワセツビクラヨシ,鳥取県,倉吉市,鳥取県倉吉市和田東町１９０番地,construction,construction,1993-05-06,false,,,代表取締役　西川　典衝,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001005838,株式会社田口設備企画,タグチセツビキカク,鳥取県,鳥取市,鳥取県鳥取市岩倉３７２番地２６,construction,construction|advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-11
1270001006010,大成薬品工業株式会社,,鳥取県,八頭郡智頭町,鳥取県八頭郡智頭町大字真鹿野５３０番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-25
1270001006571,株式会社阿部塗装店,アベトソウテン,鳥取県,倉吉市,鳥取県倉吉市米田町８５８番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-28
1270001006613,ＯＮ工業株式会社,,鳥取県,鳥取市,鳥取県鳥取市南栄町６０番地１３,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270001006720,株式会社濱田工務店,ハマダコウムテン,鳥取県,米子市,鳥取県米子市河岡４００番地１０,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-22
1270001006753,くらみつ自動車工業株式会社,クラミツジドウシャコウギョウ,鳥取県,東伯郡琴浦町,鳥取県東伯郡琴浦町大字釛３０９番地１,construction,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001006778,株式会社奥洞工務店,オクボラコウムテン,鳥取県,米子市,鳥取県米子市両三柳２５１番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-08
1270001006935,株式会社山陰総合建設,サンインソウゴウケンセツ,鳥取県,米子市,鳥取県米子市祇園町２丁目１００番地４,construction,construction,2016-04-11,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270001007108,マイシン工業株式会社,マイシンコウギョウ,鳥取県,鳥取市,鳥取県鳥取市古海４４５－１,construction,,2016-11-29,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-07
1270001007405,株式会社景山工業,,鳥取県,米子市,鳥取県米子市富益町２６番地３１,construction,,2017-11-28,false,,,,,,,,国税庁 法人番号公表サイト,2017-12-01
1270001007462,ブルースカイ設備株式会社,,鳥取県,米子市,鳥取県米子市中島１丁目９番１４号,construction,construction,2018-02-22,false,,,,,,,,国税庁 法人番号公表サイト,2018-02-27
