# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6270001007078,株式会社アキヨシフードサービス,アキヨシフードサービス,鳥取県,境港市,鳥取県境港市上道町３１４７番地,food,care|restaurant,2016-10-20,false,,,,https://soistance.co.jp/,0859-31-8051,,,国税庁 法人番号公表サイト,2019-05-21
1270001002488,リバードフードダイバーシティ株式会社,リバードフードダイバーシティ,鳥取県,鳥取市,鳥取県鳥取市福部町海士２０番地１,food,,1953-04-01,false,,,代表取締役　川口　大輔,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1270002002520,有限会社柳フードセンター,,鳥取県,岩美郡岩美町,鳥取県岩美郡岩美町大字網代１１８番地７９,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270002002818,有限会社笑フード企画,,鳥取県,鳥取市,鳥取県鳥取市晩稲９２番地１,food,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270002004574,有限会社レストラン四季,,鳥取県,鳥取市,鳥取県鳥取市河原町河原５４番地１６,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270002005291,有限会社いなかフードセンター,,鳥取県,米子市,鳥取県米子市大篠津町４９２３番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270002007908,有限会社フードショップあだち,,鳥取県,境港市,鳥取県境港市岬町４２番地１,food,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1270003000044,合資会社スザワフードサービス,,鳥取県,鳥取市,鳥取県鳥取市扇町５７番地１サウスシティー１Ｆ,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2270001004418,株式会社ＭＦＴフードプロ,,鳥取県,米子市,鳥取県米子市両三柳７７６番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2270001006637,株式会社エヌ・キッチン,エヌキッチン,鳥取県,米子市,鳥取県米子市三旗町６番５号,food,restaurant,2015-10-05,false,4,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2270002008021,有限会社レストラン市民会館,,鳥取県,境港市,鳥取県境港市上道町３０００番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
3270002002188,有限会社丸豊食堂,マルトヨショクドウ,鳥取県,鳥取市,鳥取県鳥取市本町２丁目２１２番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-29
3270002005026,有限会社水原フードサービス,,鳥取県,鳥取市,鳥取県鳥取市里仁７５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3270005000305,鳥取県飲食生活衛生同業組合,トットリケンインショク,鳥取県,米子市,鳥取県米子市日野町５７番地大塚ビル２Ｆ－Ｃ,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-01
4270002000926,有限会社タガフードセンター,,鳥取県,鳥取市,鳥取県鳥取市西品治６９０番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
4270002006072,有限会社新堀フード,シンボリフード,鳥取県,米子市,鳥取県米子市西福原２丁目１番１０号米子しんまち天満屋４Ｆ,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-26
4270002007368,有限会社レストランたくら,レストランタクラ,鳥取県,米子市,鳥取県米子市両三柳８６１番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-14
5270002000462,有限会社カフェ・ド・トーヨー,,鳥取県,鳥取市,鳥取県鳥取市賀露町１２１番地２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
5270002001881,有限会社森フードセンター,モリフードセンター,鳥取県,鳥取市,鳥取県鳥取市湖山町北２丁目３０４番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-10
5270002001915,有限会社やぶきん食堂,,鳥取県,鳥取市,鳥取県鳥取市川端２丁目１０８番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
5270002004125,有限会社原田フードセンター,,鳥取県,鳥取市,鳥取県鳥取市鹿野町鹿野１１８４番地８,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
