# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1270001007066,株式会社エルスリー,エルスリー,鳥取県,鳥取市,鳥取県鳥取市湖山町東４丁目６１番地,other,care,2016-09-29,false,,,,,0857-30-7573,,,国税庁 法人番号公表サイト,2019-12-12
9270001007439,株式会社ＧＳｐａｃｅ,ジースペース,鳥取県,鳥取市,鳥取県鳥取市鹿野町今市６４５番地２,other,care,2018-01-15,false,,,,,0857-51-0061,,,国税庁 法人番号公表サイト,2021-04-05
5270001002468,株式会社メディコープとっとり,メディコープトットリ,鳥取県,鳥取市,鳥取県鳥取市末広温泉町２０３番地,other,care,2015-10-05,false,,,,http://mcp.mcoop-tottori.jp/services/tampopo.html,0858-71-0273,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3270001000168,株式会社サポートライフ,,鳥取県,鳥取市,鳥取県鳥取市東今在家３２１番地２６,other,care,2015-10-05,false,,,,www.support-life.jp,0857-29-3455,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5270001005990,株式会社シェアグレイス商栄,シェアグレイスショウエイ,鳥取県,鳥取市,鳥取県鳥取市商栄町２７１番地５,other,care,2015-10-05,false,25,,,,0857-32-5151,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4270003001485,合同会社ＡＴＳＵＩ,アツイ,鳥取県,岩美郡岩美町,鳥取県岩美郡岩美町大字岩本１１６６番地１,other,care,2023-02-03,false,,,,,0857-30-4025,,,国税庁 法人番号公表サイト,2023-02-03
1270001006596,株式会社サードライフモア,サードライフモア,鳥取県,米子市,鳥取県米子市安倍２００番地１,other,care,2015-10-05,false,,,,http://www.medicalcare.jp/,0853-31-8223,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3270002005018,静和会しらゆき有限会社,セイワカイシラユキ,鳥取県,鳥取市,鳥取県鳥取市千代水４丁目４３番地,other,care,2015-10-05,false,,,,,0857-30-5700,,,国税庁 法人番号公表サイト,2021-04-22
4270001000563,株式会社エヌケーシー,エヌケーシー,鳥取県,鳥取市,鳥取県鳥取市戎町４７１番地,other,care,1965-08-02,false,159,,代表取締役　佐武　紀明,http://www.web-nkc.com/,0857-27-6111,,http://www.web-nkc.com/otoiawase/index.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6270001008010,株式会社協の輪,トモノワ,鳥取県,鳥取市,鳥取県鳥取市大杙２２９番地１６,other,care,2020-05-25,false,,,,tomonowa‐tottori.com,0857-30-5595,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
