# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3340001020497,株式会社今井工業,イマイコウギョウ,鹿児島県,鹿児島市,鹿児島県鹿児島市平川町５７５８番地３３,construction,care,2017-08-02,false,,,,,099-293-1800,,,国税庁 法人番号公表サイト,2019-07-09
4340001004318,メイワ医科工業株式会社,メイワイカコウギョウ,鹿児島県,鹿児島市,鹿児島県鹿児島市七ツ島１丁目４番８号,construction,care,2015-10-05,false,20,,,http://meiwaika.com/,099-261-1123,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
9340001011730,株式会社太田電機工業所,オオタデンキコウギョウショ,鹿児島県,阿久根市,鹿児島県阿久根市港町６５番地４,construction,care,2015-10-05,false,,,,http://danke-care.com/,０９９６－７３－２０７３,,,国税庁 法人番号公表サイト,2026-02-20
1340001002670,株式会社タクマ建設,タクマケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市谷山港１丁目２番７号,construction,care|construction,2015-10-05,false,,,,http://www.e-takuma.jp/,0996-23-4040,,,国税庁 法人番号公表サイト,2022-06-13
7340001007615,株式会社堀之内建設,ホリノウチケンセツ,鹿児島県,霧島市,鹿児島県霧島市牧園町高千穂３８６４番地,construction,care|construction,2015-10-05,false,17,,,horiken-magokoro.co.jp,0995-78-2811,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1030001061888,米代建設株式会社,ヨネシロケンセツ,鹿児島県,指宿市,鹿児島県指宿市山川成川６５６２,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-11
1340001000526,株式会社上原塗装,ウエハラトソウ,鹿児島県,鹿児島市,鹿児島県鹿児島市玉里団地１丁目８６番２号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001001160,株式会社勝建設,カツケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市新照院町１９番１号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-22
1340001001202,上仮屋建設株式会社,,鹿児島県,鹿児島市,鹿児島県鹿児島市小野２丁目５番１３号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340001001210,上村海運建設株式会社,カミムラカイウンケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市荒田１丁目２１番２１号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001001243,株式会社川路土木,カワジドボク,鹿児島県,鹿児島市,鹿児島県鹿児島市西坂元町４１番８号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-17
1340001001318,郷栄工業株式会社,キョウエイコウギョウ,鹿児島県,鹿児島市,鹿児島県鹿児島市唐湊１丁目１４番６７号,construction,,2015-10-05,false,15,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001001334,株式会社九建設計,キュウケンセッケイ,鹿児島県,鹿児島市,鹿児島県鹿児島市紫原４丁目７番１１号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-09
1340001001375,株式会社玉龍建設,ギョクリュウケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市犬迫町７１７０番地,construction,construction,2015-10-05,false,5,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001001474,株式会社工藤工務店,,鹿児島県,鹿児島市,鹿児島県鹿児島市犬迫町５２９７番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340001001607,こうかき建設株式会社,コウカキケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市小野４丁目３番１９号,construction,construction,2015-10-05,false,43,,,http://www.kohkaki.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001002101,株式会社七呂建設,シチロケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市石谷町１２６０番地８,construction,construction,2015-10-05,false,130,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001002233,株式会社白川工務店,シラカワコウムテン,鹿児島県,鹿児島市,鹿児島県鹿児島市荒田２丁目３８番５号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-13
1340001002563,大平工業株式会社,タイヘイコウギョウ,鹿児島県,鹿児島市,鹿児島県鹿児島市谷山中央１丁目３３番２１号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-09
1340001002605,株式会社ダイヤモンド止水接着工業,ダイヤモンドシスイセッチャクコウギョウ,鹿児島県,鹿児島市,鹿児島県鹿児島市田上台３丁目７番１２号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001002646,株式会社竹下建築設計事務所,,鹿児島県,鹿児島市,鹿児島県鹿児島市城山町３番３４号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-15
1340001002786,株式会社中興建設,,鹿児島県,鹿児島市,鹿児島県鹿児島市伊敷１丁目１番２１号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-25
1340001002869,電通工業株式会社,デンツウコウギョウ,鹿児島県,鹿児島市,鹿児島県鹿児島市永吉２丁目２２番２号,construction,,1979-09-10,false,,,代表取締役　弓削　武勝,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001003090,永田重機土木株式会社,ナガタジュウキドボク,鹿児島県,鹿児島市,鹿児島県鹿児島市川上町２２１６番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001003124,株式会社中屋建設工業,ナカヤケンセツコウギョウ,鹿児島県,鹿児島市,鹿児島県鹿児島市草牟田１丁目１０番４号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-27
1340001003140,南洲アルミ工業株式会社,,鹿児島県,鹿児島市,鹿児島県鹿児島市小野３丁目４５０５番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-28
1340001003157,株式会社夏迫塗装工業,ナツサコトソウコウギョウ,鹿児島県,鹿児島市,鹿児島県鹿児島市新照院町１番１４号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-09
1340001003165,南日電機工業株式会社,,鹿児島県,鹿児島市,鹿児島県鹿児島市照国町３番９号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-27
1340001003272,西元北之園建設株式会社,ニシモトキタノソノケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市真砂町８６番３号クリーンビル３０１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001003322,日泉建設株式会社,ニッセンケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市南林寺町２６番９号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-02
1340001003504,株式会社羽島建設,ハシマケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市鴨池１丁目８番６号高山ビル１階,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-27
1340001003677,富国工業九州株式会社,,鹿児島県,鹿児島市,鹿児島県鹿児島市西伊敷７丁目１９番９号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-27
1340001003776,双葉鉄工建設株式会社,フタバテッコウケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市南栄２丁目７番地７,construction,construction|manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-20
1340001003867,豊和建設株式会社,ホウワケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市天保山町８番６号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-03
1340001004031,株式会社丸野工務所,,鹿児島県,鹿児島市,鹿児島県鹿児島市錦江町４番７号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340001004056,丸松建設株式会社,マルマツケンセツ,鹿児島県,鹿児島市,鹿児島県鹿児島市西坂元町６１番７号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-18
1340001004106,南九州飼料工業株式会社,ミナミキュウシュウシリョウコウギョウ,鹿児島県,鹿児島市,鹿児島県鹿児島市谷山港１丁目４番１１号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-15
1340001004304,明光通信建設株式会社,,鹿児島県,鹿児島市,鹿児島県鹿児島市宇宿２丁目５番３３号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-05-13
