# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6340001002798,株式会社中礼義肢製作所,チュウレイギシセイサクジョ,鹿児島県,鹿児島市,鹿児島県鹿児島市加治屋町１１番３号,manufacturing,care|manufacturing,2015-10-05,false,,,,http://www．ｃｈｕｒｅｉｇｉｓｈｉ．ｃｏ．ｊｐ,099-225-0888,,,国税庁 法人番号公表サイト,2023-02-02
1340001000047,株式会社フレッシュ食品,フレッシュショクヒン,鹿児島県,鹿児島市,鹿児島県鹿児島市宮之浦町１９９２番地１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-13
1340001000071,株式会社鹿児島北斗製作所,カゴシマホクトセイサクショ,鹿児島県,鹿児島市,鹿児島県鹿児島市有屋田町２０８番地,manufacturing,manufacturing,2015-10-05,false,14,,,http://www.hokuto-factory.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001000749,株式会社オガワ食品,オガワショクヒン,鹿児島県,鹿児島市,鹿児島県鹿児島市宇宿２丁目９番２１号,manufacturing,food-maker,2015-10-05,false,130,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001001565,ケービー食品株式会社,ケービーショクヒン,鹿児島県,鹿児島市,鹿児島県鹿児島市西別府町２９４１番地２８,manufacturing,food-maker,2015-10-05,false,255,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001001838,株式会社相良製作所,サガラセイサクジョ,鹿児島県,鹿児島市,鹿児島県鹿児島市上荒田町３６番１０号,manufacturing,manufacturing,2015-10-05,false,51,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001002316,セイカ食品株式会社,セイカショクヒン,鹿児島県,鹿児島市,鹿児島県鹿児島市西別府町３２００番７,manufacturing,food-maker,1919-09-22,false,,,代表取締役　玉川　浩一郎,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001003462,鳥丸食品株式会社,トリマルショクヒン,鹿児島県,鹿児島市,鹿児島県鹿児島市谷山港２丁目２番地１９,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001005021,株式会社冨久屋製パン工場,,鹿児島県,鹿児島市,鹿児島県鹿児島市郡元１丁目７番５号,manufacturing,food-maker|manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-22
1340001006267,株式会社食品専科食彩,ショクヒンセンカショクサイ,鹿児島県,鹿児島市,鹿児島県鹿児島市西別府町２９９５番地４,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-24
1340001007117,株式会社山田食品,ヤマダショクヒン,鹿児島県,鹿児島市,鹿児島県鹿児島市吉野２丁目２２番８号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-13
1340001011201,鹿児島食品株式会社,,鹿児島県,薩摩川内市,鹿児島県薩摩川内市永利町１５５４番地１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340001011713,上野食品株式会社,ウエノショクヒン,鹿児島県,阿久根市,鹿児島県阿久根市山下７６０７番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001011812,株式会社畑中食品,ハタナカショクヒン,鹿児島県,出水市,鹿児島県出水市平和町１０２７番地,manufacturing,food-maker,2015-10-05,false,277,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340001012298,ホンダ食品株式会社,ホンダショクヒン,鹿児島県,鹿児島市,鹿児島県鹿児島市西田２丁目７番２０号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-23
1340001012793,かねだい食品株式会社,カネダイショクヒン,鹿児島県,南九州市,鹿児島県南九州市川辺町平山字松山６０７６番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-10
1340001015037,株式会社谷口製作所,タニグチセイサクショ,鹿児島県,志布志市,鹿児島県志布志市志布志町志布志３２７番地３,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-11
1340001016191,株式会社マルカワ青果食品,マルカワセイカショクヒン,鹿児島県,鹿児島市,鹿児島県鹿児島市和田１丁目２７番３号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-29
1340001019649,株式会社アベマツ製作所,アベマツセイサクショ,鹿児島県,鹿屋市,鹿児島県鹿屋市古江町６４６番地１０,manufacturing,manufacturing,2016-09-08,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-04
1340001019954,株式会社共栄食品,キョウエイショクヒン,鹿児島県,鹿児島市,鹿児島県鹿児島市谷山港２丁目４番３５,manufacturing,food-maker,2017-01-11,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-06
1340001020367,ダイキチ食品株式会社,,鹿児島県,大島郡徳之島町,鹿児島県大島郡徳之島町轟木６７４番地,manufacturing,food-maker,2017-06-09,false,,,,,,,,国税庁 法人番号公表サイト,2017-06-14
1340001021448,株式会社池田製作所,イケダセイサクジョ,鹿児島県,曽於郡大崎町,鹿児島県曽於郡大崎町持留１７４５番地１,manufacturing,manufacturing,2018-09-07,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-12
1340001024475,蓬野整備工場株式会社,フツノセイビコウジョウ,鹿児島県,曽於郡大崎町,鹿児島県曽於郡大崎町神領２３７０－１３,manufacturing,manufacturing|auto,2022-02-03,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-03
1340001025770,株式会社鹿屋金属,カノヤキンゾク,鹿児島県,鹿屋市,鹿児島県鹿屋市串良町細山田３１４９番地６,manufacturing,manufacturing,2023-08-07,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-07
1340002002109,有限会社オータカ健康食品,,鹿児島県,鹿児島市,鹿児島県鹿児島市武１丁目２１番３９号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002002653,有限会社カムラ食品,,鹿児島県,鹿児島市,鹿児島県鹿児島市坂元町４９番３５号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002004658,有限会社塩屋製作所,,鹿児島県,鹿児島市,鹿児島県鹿児島市南栄３丁目３０番地３,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002005689,有限会社大昭模型製作所,,鹿児島県,鹿児島市,鹿児島県鹿児島市上荒田町５０番２号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002005961,有限会社田上食品センター,,鹿児島県,鹿児島市,鹿児島県鹿児島市田上町２６５９番地の３田上団地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002006002,有限会社立石テラシ製作所,タテイシテラシセイサクショ,鹿児島県,鹿児島市,鹿児島県鹿児島市山田町２１１７番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-04
1340002007339,有限会社西元自動車ボデー工場,,鹿児島県,鹿児島市,鹿児島県鹿児島市小松原１丁目２９番８号,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002007636,有限会社橋口製作所,ハシグチセイサクショ,鹿児島県,鹿児島市,鹿児島県鹿児島市七ツ島１丁目２番１６号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-03
1340002008799,有限会社まき食品,,鹿児島県,鹿児島市,鹿児島県鹿児島市南林寺町１９番３号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002009351,三原金属鉱山有限会社,,鹿児島県,鹿児島市,鹿児島県鹿児島市東千石町２１番３８号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002012660,みのだ食品有限会社,ミノダショクヒン,鹿児島県,日置市,鹿児島県日置市東市来町伊作田２１２２番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340002014079,株式会社富士食品,フジショクヒン,鹿児島県,霧島市,鹿児島県霧島市隼人町住吉１４５番地２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340002014764,有限会社丸西食品,,鹿児島県,伊佐市,鹿児島県伊佐市大口堂崎１２０番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002016513,株式会社鹿児島精密,,鹿児島県,薩摩川内市,鹿児島県薩摩川内市陽成町５２２４番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002016760,有限会社川内自動車鈑金工場,センダイジドウシャバンキンコウジョウ,鹿児島県,薩摩川内市,鹿児島県薩摩川内市中郷町２２７７番地１,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-10
1340002016843,有限会社田頭製作所,,鹿児島県,薩摩川内市,鹿児島県薩摩川内市中郷町４９４９番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002017305,有限会社樋脇自動車整備工場,,鹿児島県,薩摩川内市,鹿児島県薩摩川内市樋脇町塔之原６０８番地,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002017379,有限会社西山食品,ニシヤマショクヒン,鹿児島県,薩摩川内市,鹿児島県薩摩川内市宮内町１８９２番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-29
1340002017957,有限会社なかがた自動車工場,ナカガタジドウシャコウジョウ,鹿児島県,いちき串木野市,鹿児島県いちき串木野市ひばりが丘５７３６番地５,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-22
1340002018253,有限会社小八重製作所,コバエセイサクショ,鹿児島県,薩摩郡さつま町,鹿児島県薩摩郡さつま町虎居５８５８番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-07
1340002018906,株式会社薩摩製作所,サツマセイサクショ,鹿児島県,鹿児島市,鹿児島県鹿児島市平之町１０番１５号グランフォーレ高見馬場１１０２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-14
1340002019318,有限会社松田製作所,,鹿児島県,西之表市,鹿児島県西之表市西之表１５７７３番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002019441,有限会社ヨシヤ食品,,鹿児島県,熊毛郡中種子町,鹿児島県熊毛郡中種子町野間３９１８番地３,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-25
1340002019508,有限会社牧自動車整備工場,マキジドウシャセイビコウジョウ,鹿児島県,熊毛郡南種子町,鹿児島県熊毛郡南種子町中之上１７７０番地,manufacturing,manufacturing|auto,1979-02-22,false,,,代表取締役　牧　祐彦,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340002019796,有限会社新里自動車整備工場,ニイザトジドウシャセイビコウジョウ,鹿児島県,熊毛郡屋久島町,鹿児島県熊毛郡屋久島町尾之間７８３番地５,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-27
1340002020449,有限会社林食品,,鹿児島県,大島郡和泊町,鹿児島県大島郡和泊町大字和１０５５番地２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-25
1340002022445,有限会社三恵金型製作所,サンケイカナガタセイサクジョ,鹿児島県,阿久根市,鹿児島県阿久根市脇本９１７６番地２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-18
1340002022569,有限会社竹下自動車整備工場,タケシタジドウシャセイビコウジョウ,鹿児島県,阿久根市,鹿児島県阿久根市本町４４番地,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-08
1340002022593,有限会社築地食品,,鹿児島県,阿久根市,鹿児島県阿久根市赤瀬川３８８１番地３,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1340002022726,有限会社枦産業出水工場,,鹿児島県,出水市,鹿児島県出水市荘１８３５番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
