# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8340001009973,株式会社ＰＲＯ,プロ,鹿児島県,西之表市,鹿児島県西之表市西町３６,other,care,2015-10-05,false,,,,http://kaigo-arigato.com,0997-23-0723,,http://kaigo-arigato.com/pages/3/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4340001017047,株式会社サザンコミュニケーションズ,サザンコミュニケーションズ,鹿児島県,鹿屋市,鹿児島県鹿屋市輝北町市成２１１９番地２,other,care,2015-10-05,false,,,,http//:www.senior-court-yahata.jp,093-661-7696,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3340002002016,株式会社ＡＣＧ,エーシージー,鹿児島県,鹿児島市,鹿児島県鹿児島市下荒田３丁目１７番１号久野ビル３Ｆ,other,care,2015-10-05,false,330,,,http://www.aozora-gp.com/,099-230-7138,info@aozora-cg.com,https://docs.google.com/forms/d/1gsqbbsdBUeIP8avbA6xRM7mqmPF9w_faf6_6q7xv4PI/viewform?edit_requested=true,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
4340001017385,株式会社アクティブフロンティア,アクティブフロンティア,鹿児島県,志布志市,鹿児島県志布志市松山町尾野見４９７番地,other,care,2015-10-05,false,11,,,,0986-39-5686,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7340001016335,株式会社キュアコネクト,キュアコネクト,鹿児島県,鹿児島市,鹿児島県鹿児島市谷山中央６丁目２１番２１号,other,care,2015-10-05,false,87,,,https://cure-connect.jp/,099-204-9808,,https://cure-connect.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5340003002624,合同会社晴天,セイテン,鹿児島県,鹿児島市,鹿児島県鹿児島市東坂元２丁目４７番１８号,other,care,2018-07-31,false,,,,,099-295-4207,,,国税庁 法人番号公表サイト,2020-07-08
9340005001827,特定非営利活動法人せせらぎ,セセラギ,鹿児島県,鹿児島市,鹿児島県鹿児島市星ヶ峯３丁目４７番１２号,other,care,2015-10-05,false,52,,,http.//www.seseragi-kagoshima.com/,099-265-8801,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2340001015837,株式会社こころ,ココロ,鹿児島県,鹿児島市,鹿児島県鹿児島市向陽２丁目２１番２２号,other,care,2015-10-05,false,,,,https://cocoro-kagoshima.com/,0992040033,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
4340003004126,合同会社ＳＤ,エスディ,鹿児島県,鹿児島市,鹿児島県鹿児島市東谷山５丁目４１番３号,other,care,2023-05-11,false,,,,,050-3595-5446,,,国税庁 法人番号公表サイト,2023-05-11
8340003002002,合同会社未来の空,,鹿児島県,鹿児島市,鹿児島県鹿児島市紫原２丁目４１－７バイオレットハイツ２０２号,other,care,2015-12-04,false,,,,,0992969490,,,国税庁 法人番号公表サイト,2021-01-19
8340001013728,株式会社縁と笑,エントショウ,鹿児島県,鹿児島市,鹿児島県鹿児島市皇徳寺台３丁目３３番１２号,other,care,2015-10-05,false,,,,,099－２９９－７７６０,,,国税庁 法人番号公表サイト,2021-10-06
2340001017263,株式会社ＲＩＮ,リン,鹿児島県,姶良市,鹿児島県姶良市蒲生町上久徳宮之脇２２０１番１,other,care,2015-10-05,false,,,,,099-296-1572,,,国税庁 法人番号公表サイト,2021-05-25
4340001004879,鶴丸交通株式会社,ツルマルコウツウ,鹿児島県,鹿児島市,鹿児島県鹿児島市錦江町２３番４号,other,care,2015-10-05,false,240,,,https://tsuruhome.com,0992821810,,https://tsuruhome.com/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5340002011964,有限会社ＳＫＹ,スカイ,鹿児島県,鹿児島市,鹿児島県鹿児島市西伊敷５丁目１０番８号,other,care,2015-10-05,false,,,,https://www.luck-is-in-sky.com/,099-220-4392,,https://www.luck-is-in-sky.com/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6340001003805,株式会社プログレス,プログレス,鹿児島県,鹿児島市,鹿児島県鹿児島市吉野２丁目１３番１３号,other,care,2015-10-05,false,,,,http://www.kawamoto-cl.or.jp/,099-243-0700,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1340003001563,合同会社心和,,鹿児島県,鹿児島市,鹿児島県鹿児島市吉野町８４７０番地７,other,care,2015-10-05,false,,,,ｓｈｉｎｗａ＠ｐｏ２．ｓｙｎａｐｓｅ．ｎｅ．ｊｐ,099－295－6680,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5340002012145,有限会社ヘルパーステーション木の花,ヘルパーステーションコノハナ,鹿児島県,鹿児島市,鹿児島県鹿児島市西陵２丁目４７番６号,other,care,2015-10-05,false,,,,,(099)281-4086,,,国税庁 法人番号公表サイト,2018-05-11
