# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2011801002719,太陽自動車株式会社,タイヨウジドウシャ,東京都,葛飾区,東京都葛飾区四つ木５丁目５番１８号,other,care|auto,2015-10-05,false,,,,http://hk-grp.or.jp/kushiro/,0154-52-3535,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2400001006879,三社自動車株式会社,サンシャジドウシャ,岩手県,宮古市,岩手県宮古市保久田４番８号,other,care|auto,2015-10-05,false,,,,,0193-62-3632,,,国税庁 法人番号公表サイト,2019-07-11
4410002013087,有限会社末廣自動車,スエヒロジドウシャ,秋田県,横手市,秋田県横手市大町５番１０号,other,care|auto,2015-10-05,false,23,,,,0182-32-0306,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2380001000802,大和自動車交通株式会社,ダイワジドウシャコウツウ,福島県,福島市,福島県福島市入江町１３番２２号,other,care|auto,2015-10-05,false,,,,http://f-daiwa.com,024-534-6181,,http://f-daiwa.com/pages/3/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
0805000201850,株式会社　関根自動車,,茨城県,境町,茨城県猿島郡境町大字伏木１２２７,medical,care|auto,,false,,,,sakaitanpopo.com,0280-81-3083,,,介護サービス情報公表システム（厚生労働省）|（自社クロール検証）,2026-07-04
6030002004734,厚生福祉自動車有限会社,コウセイフクシジドウシャ,埼玉県,さいたま市南区,埼玉県さいたま市南区文蔵３丁目２７番５号,medical,care|auto,2015-10-05,false,,,,http://hellokaigo.jp/,048-866-0110,,http://hellokaigo.jp/publics/index/3/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7040002036924,有限会社武藤自動車,ムトウジドウシャ,千葉県,市川市,千葉県市川市若宮３丁目４９番１３号,other,care|auto,1970-06-08,false,70,,代表取締役　武藤　厚,http://www.muto-taxi.co.jp/,0473387774,muto_ninteisho-211x300@2x.png,https://muto-taxi.co.jp/privacy/contact.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7011201005342,宮園自動車株式会社,ミヤゾノジドウシャ,東京都,中野区,東京都中野区中野１丁目５０番５号,other,care|auto,2015-10-05,false,792,,,http://www.miyazono.jp/kaigo/index.html,0359274701,,http://www.miyazono.jp/kaigo/toiawase.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3030001008499,山手観光自動車株式会社,ヤマテカンコウジドウシャ,埼玉県,さいたま市南区,埼玉県さいたま市南区大字大谷口１４６０番地２,other,care|auto,2015-10-05,false,,,,http://www.yamate-gp.co.jp/,03-5839-1732,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4012801010313,大和自動車交通立川株式会社,ダイワジドウシャコウツウタチカワ,東京都,立川市,東京都立川市富士見町１丁目２５番地,other,care|auto,2014-04-01,false,107,,代表取締役　澤田　康太朗,https://www.daiwaj.com/index.html,0335635151,,https://www.daiwaj.com/service/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6020002018917,有限会社志村自動車商会,シムラジドウシャショウカイ,神奈川県,横浜市港南区,神奈川県横浜市港南区笹下１丁目５番７号,other,care|auto|wholesale,2015-10-05,false,,,,http://www.sasage.jp/,045-845-0039,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2021002071356,有限会社オートハウス,オートハウス,神奈川県,三浦市,神奈川県三浦市初声町下宮田１０５０番地５,realestate,care|realestate|auto,2015-10-05,false,,,,http://www.myhome-houmonkaigo.center,046-876-6196,,https://forms.gle/FmYJoGCGsqhbg4Er8,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6230001001712,株式会社中越オートサービス,チュウエツオートサービス,富山県,富山市,富山県富山市奥田本町３番８号,service,care|auto,2015-10-05,false,,,,www.chuetsu-auto.com/akari-taxi/,076-411-8388,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6180001038339,つばめ自動車株式会社,ツバメジドウシャ,愛知県,名古屋市中区,愛知県名古屋市中区栄１丁目２１番１７号,other,care|auto,1952-03-24,false,434,,代表取締役社長　天野清美,http://www.tsubame-taxi.or.jp/,058-272-4117,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9080101004462,オートアシスト＆サトーレッカー株式会社,オートアシストアンドサトーレッカー,静岡県,御殿場市,静岡県御殿場市山之尻９５４番地の６,other,care|auto,2015-10-05,false,52,,,https://www.sato-wrecker.co.jp/,0550-84-1889,info@sato-wrecker.co.jp,https://www.sato-wrecker.co.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3080001022933,株式会社英弘サービス,エイコウサービス,静岡県,榛原郡吉田町,静岡県榛原郡吉田町片岡２３０９番地の１１－２０１,service,care|logistics|auto,2019-06-21,false,,,,https://eikouservice.jimdosite.com/,0548235837,eikouservice@silk.plala.or.jp,https://eikouservice.jimdosite.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1180302014051,有限会社ミノルカ自動車,ミノルカジドウシャ,愛知県,豊川市,愛知県豊川市諏訪１丁目３５番地,other,care|auto,2015-10-05,false,,,,http://taiyou-toyokawa.jp/care-station.html,0533-65-7730,,http://taiyou-toyokawa.jp/contact/form.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4120002011979,富士自動車工業有限会社,フジジドウシャコウギョウ,大阪府,大阪市平野区,大阪府大阪市平野区西脇１丁目２番３２号,construction,care|auto,2015-10-05,false,,,,,06-6701-1302,,,国税庁 法人番号公表サイト,2026-01-16
1290801003436,北交大和タクシー株式会社,ホッコウダイワタクシー,福岡県,北九州市戸畑区,福岡県北九州市戸畑区天神１丁目１番２４号,other,care|logistics|hr|auto,2015-10-05,false,,,,http://www.hokkodaiwa.co.jp,0938712525,,https://www.hokkodaiwa.co.jp/form/hokkodaiwa/yoyakuform,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9290001070674,西日本自動車株式会社,ニシニホンジドウシャ,福岡県,福岡市中央区,福岡県福岡市中央区那の津５丁目４番３号,other,care|auto,2015-10-05,false,290,,,kaigo@nishinihon-taxi.com,092-761-7160,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7290002048837,久留米報国自動車有限会社,クルメホウコクジドウシャ,福岡県,久留米市,福岡県久留米市長門石２丁目２番８６号,other,care|auto,2015-10-05,false,,,,,0942-38-8262,,,国税庁 法人番号公表サイト,2020-07-16
4350001008284,株式会社マルエイ自動車,マルエイジドウシャ,宮崎県,都城市,宮崎県都城市吉尾町１６４番地１,other,care|auto,2015-10-05,false,198,,,http://www.fukushitateno.jp/,0986-26-7777,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
9390002009843,有限会社モリヤオート,モリヤオート,山形県,鶴岡市,山形県鶴岡市みどり町６番４１号,other,care|auto,2015-10-05,false,,,,,0235-25-3050,,,国税庁 法人番号公表サイト,2022-07-25
3020002011800,有限会社佐藤自動車興業,サトウジドウシャコウギョウ,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区下倉田町１０３４番地１６,other,care|auto,2015-10-05,false,,,,https://www.gorilla-houkan.com/,045-719-4771,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.gorilla-houkan.com/%E8%A4%87%E8%A3%BD-%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7010401029044,三菱自動車工業株式会社,ミツビシジドウシャコウギョウ,東京都,港区,東京都港区芝浦３丁目１番２１号,construction,care|auto,1970-04-22,false,14184,284382000000,代表執行役CEO　加藤　隆雄,https://www.mitsubishi-motors.com/jp/sustainability/esg/report/index.html,075-381-2111,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5010701000904,いすゞ自動車株式会社,イスズジドウシャ,神奈川県,横浜市西区,神奈川県横浜市西区高島１丁目２番５号,other,care|auto,1937-04-09,false,8804,40644000000,取締役社長ＣＥＯ　　山口　真宏,https://www.isuzu.co.jp/company/sustainability/social/respect_for_employees.html,03-3762-9127,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8700150043893,トヨタ自動車健康保険組合,トヨタジドウシヤケンコウホケンクミアイ,愛知県,豊田市,愛知県豊田市丸山町６丁目２２,finance,care|auto,2015-10-09,false,148,,,https://www.toyotakenpo.jp/,0565-24-0620,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6420001004869,株式会社サンライズモータース,サンライズモータース,青森県,青森市,青森県青森市大字平新田字池上５６番地１,other,care|auto,2015-10-05,false,111,,,,0172-55-0785,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180002033715,有限会社オートプレステージ,オートプレステージ,愛知県,名古屋市昭和区,愛知県名古屋市昭和区八事富士見８０１番地,other,care|auto,2015-10-05,false,,,,,0561-51-3631,,,国税庁 法人番号公表サイト,2019-08-13
8310001003525,ラッキー自動車株式会社,ラッキージドウシャ,長崎県,長崎市,長崎県長崎市大橋町２５番６号,other,care|auto,2015-10-05,false,151,,,http://www.luckygroup.co.jp/,095-842-5102,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4330002030925,有限会社久保田自動車,クボタジドウシャ,熊本県,球磨郡水上村,熊本県球磨郡水上村大字岩野１２１番地の１,other,care|auto,2015-10-05,false,,,,,0966-44-0092,,,国税庁 法人番号公表サイト,2019-12-02
8380002021040,有限会社曲山自動車整備工場,マガリヤマジドウシャセイビコウジョウ,福島県,石川郡石川町,福島県石川郡石川町字下泉６４番地,manufacturing,care|manufacturing|auto,2015-10-05,false,,,,,0247-26-3752,,,国税庁 法人番号公表サイト,2025-12-10
8010101002861,日本オートランニングシステム株式会社,ニホンオートランニングシステム,東京都,八王子市,東京都八王子市叶谷町８６７番地１,it,care|it|auto,2015-10-05,false,,,,https://s-ran.co.jp/,042-673-7833,,,国税庁 法人番号公表サイト,2024-05-17
