# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4440001005603,株式会社エスティ,エスティ,北海道,函館市,北海道函館市万代町１番１号,other,care|beauty,2015-10-05,false,,,,,0138-41-8800,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8450001010268,株式会社エステートジョイ,エステートジョイ,北海道,旭川市,北海道旭川市東光八条３丁目１番１号,realestate,care|beauty|realestate,2015-10-05,false,,,,https://limekan.net/,0166-82-6555,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4410003003797,ケアサロンつむぎ合同会社,,秋田県,秋田市,秋田県秋田市泉南２丁目１番１０号,medical,care|beauty,2023-05-12,false,,,,http://hp.kaipoke.biz/7a9/,018-853-1626,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6060002035710,有限会社キャスパー,,栃木県,足利市,栃木県足利市今福町３３３番地,other,care|beauty,2015-10-05,false,,,,,0284-21-9320,,,国税庁 法人番号公表サイト,2015-10-30
5030002051100,有限会社エスティエス・ジャパン,,埼玉県,三郷市,埼玉県三郷市戸ケ崎３丁目４１６番地１,other,care|beauty,2015-10-05,false,,,,,048-956-3373,,,国税庁 法人番号公表サイト,2015-11-06
4012401029464,ウエルネスパートナーズ株式会社,ウエルネスパートナーズ,千葉県,佐倉市,千葉県佐倉市栄町１０番地１７ＨＢ佐倉１Ｆ,consulting,care|beauty|pro-services,2015-10-05,false,40,,,,043-312-3773,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8040003003261,合同会社レスパイト,,千葉県,浦安市,千葉県浦安市北栄１丁目１６番３０－３０５,other,care|beauty,2015-10-05,false,,,,,047-727-4479,,,国税庁 法人番号公表サイト,2015-11-06
5040002081955,有限会社プロスパーコーポレーション,プロスパーコーポレーション,千葉県,長生郡白子町,千葉県長生郡白子町中里３３８９番地２,other,care|beauty,2015-10-05,false,27,,,https://www.prosper-corporation.co.jp/,0475-30-3773,,https://www.prosper-corporation.co.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7010601001067,株式会社エスパーズ・プランニング,エスパーズプランニング,東京都,江東区,東京都江東区牡丹３丁目３番６号,other,care|beauty,2015-10-05,false,,,,,03-3641-5500,,,国税庁 法人番号公表サイト,2019-02-01
8011301015488,株式会社グローバルエステート,グローバルエステート,東京都,杉並区,東京都杉並区高円寺北２丁目６番１号,realestate,care|beauty|realestate,2015-10-05,false,,,,http://e-hohoemi.com,03-6411-0613,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5012705000608,特定非営利活動法人ＮＰＯいきがいサロンオリーブ,エヌピーオーイキガイサロンオリーブ,東京都,小平市,東京都小平市小川町１丁目９７３－６,other,care|beauty,2015-10-05,false,,,,,042-344-7803,,,国税庁 法人番号公表サイト,2024-03-26
3021001022409,株式会社エスティサービス,エスティサービス,神奈川県,秦野市,神奈川県秦野市平沢１５５５番地,service,care|beauty|clinic|realestate|manufacturing|agriculture,2015-10-05,false,,,,http://www.st-service.co.jp/,042-795-7770,,https://forms.gle/UD9ixerebeFFtb6s9,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3220001010733,株式会社スパーテル,スパーテル,石川県,金沢市,石川県金沢市昌永町１５番６０号２２０７,other,care|beauty,2015-10-05,false,278,,,https://spatel.co.jp/,076-213-7005,&#115;&#111;&#117;&#109;&#117;&#64;&#116;&#101;&#109;&#97;&#114;&#105;&#121;&#97;&#107;&#107;&#121;&#111;&#107;&#117;&#46;&#99;&#111;&#109;,https://kyujin.temariyakkyoku.com/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2080401011256,株式会社ウェルネスパートナー,ウェルネスパートナー,静岡県,浜松市浜名区,静岡県浜松市浜名区三ヶ日町都筑５４１番１,other,care|beauty,2015-10-05,false,23,,,http://www.wellnesspartner.co.jp/,053-526-1165,,http://www.wellnesspartner.co.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9190001019896,株式会社インスパイア,インスパイア,三重県,鈴鹿市,三重県鈴鹿市柳町６１１番地,other,care|beauty,2015-10-05,false,,,,,0593956031,,,国税庁 法人番号公表サイト,2022-10-14
2120001137851,株式会社エキスパートナース,エキスパートナース,大阪府,大阪市大正区,大阪府大阪市大正区泉尾３丁目１０番７号,other,care|beauty,2015-10-05,false,33,,,,06-6556-3200,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4120001194478,株式会社ｆｉｒｓｔｃｌａｓｓ,ファーストクラス,大阪府,大阪市西淀川区,大阪府大阪市西淀川区出来島２丁目９番７号,other,care|beauty,2015-11-24,false,,,,https://kiki.ne.jp/,06-6195-1852,pwbgc612@ybb.ne.jp,https://kiki.ne.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8120001059371,高松エステート株式会社,タカマツエステート,大阪府,大阪市淀川区,大阪府大阪市淀川区新北野１丁目２番１３号,realestate,care|beauty|realestate,2015-10-05,false,,,,,06-6308-0310,,,国税庁 法人番号公表サイト,2022-10-18
4120003011887,合同会社エスティー,エスティー,大阪府,大阪市西成区,大阪府大阪市西成区玉出東１丁目９番１８号,other,care|beauty,2016-08-09,false,,,,,06-6624-9513,,,国税庁 法人番号公表サイト,2023-08-25
7120001221262,株式会社カムラッドプロスパー,カムラッドプロスパー,大阪府,大阪市平野区,大阪府大阪市平野区加美東３丁目１番２７号,other,care|beauty,2019-05-27,false,,,,http://hp.kaipoke.biz/wsx/,06-6770-5588,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8120901041817,株式会社エステイク,エステイク,大阪府,高槻市,大阪府高槻市高槻町８番６号,other,care|beauty,2019-09-27,false,,,,,0726-85-5055,,,国税庁 法人番号公表サイト,2019-10-02
4120102015442,有限会社しあわせ,シアワセ,大阪府,松原市,大阪府松原市北新町６丁目１７番２５号,other,care|beauty,2015-10-05,false,,,,http://shiawase-kaigo.com/,072-335-2913,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2140001046349,株式会社ＪａｍＨｏｍｅエステート,ジャムホームエステート,兵庫県,加古川市,兵庫県加古川市野口町良野４１４番地の１,realestate,care|beauty|realestate,2015-10-05,false,9,,,http://www.jam-home.com/,079-423-8835,,https://jam-home.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2150005008311,一般社団法人福祉美容協会ポレ・ポレ,フクシビヨウキョウカイポレポレ,奈良県,奈良市,奈良県奈良市西木辻町１３４番地の４,medical,care|beauty,2015-10-05,false,,,,,0742-21-8572,,,国税庁 法人番号公表サイト,2020-02-05
3290001065572,玄洋リアルエステート株式会社,ゲンヨウリアルエステート,福岡県,福岡市東区,福岡県福岡市東区水谷１丁目１５番５６号１Ｆ,realestate,care|beauty|realestate,2015-10-05,false,,,,,092-692-2887,,,国税庁 法人番号公表サイト,2019-03-13
