# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3430005001633,医療法人社団恵和会,ケイワカイ,北海道,札幌市中央区,北海道札幌市中央区宮の森１２３７番地１,medical,care|clinic,2015-10-05,false,,,,http://www.miyanomori-hp.or.jp/,011-611-2211,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5430005001508,社会医療法人禎心会,テイシンカイ,北海道,札幌市東区,北海道札幌市東区北三十三条東１丁目３番１号,medical,care|clinic,2015-10-05,false,1246,,,http//www.teishinkai.jp/kita,0162-29-4322,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3430005008281,医療法人社団誠仁会,セイジンカイ,北海道,札幌市北区,北海道札幌市北区北二十三条西４丁目２番２３号,medical,care|clinic,2015-10-05,false,,,,http://www.seijinkai-n.com,011-768-7335,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8430005002024,医療法人社団北昂会ファミール内科,ホッコウカイファミールナイカ,北海道,札幌市北区,北海道札幌市北区北二十九条西４丁目２番１－１５８,medical,care|clinic,2015-10-05,false,110,,,https://psgroup.jimdo.com/,011-746-3987,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7430005001472,医療法人社団翔嶺館,ショウレイカン,北海道,札幌市厚別区,北海道札幌市厚別区厚別東四条２丁目１番３７号,medical,care|clinic,2015-10-05,false,,,,,011-772-1175,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8430005001620,社会医療法人社団愛心館,アイシンカン,北海道,札幌市東区,北海道札幌市東区北二十七条東１丁目１番１５号,medical,care|clinic,2015-10-05,false,375,,,http://www.aishinkan.jp,0117523055,,https://aishinkan.jp/platform/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7430005004533,医療法人新産健会,シンサンケンカイ,北海道,札幌市中央区,北海道札幌市中央区大通西１丁目１４番地２,medical,care|clinic,2006-07-12,false,490,,理事長　杉江　広紀,https://minadukihome.com/station-ayame/,011-826-5105,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5430005002019,社会医療法人社団カレスサッポロ,カレスサッポロ,北海道,札幌市東区,北海道札幌市東区北六条東３丁目１番地１,medical,care|clinic,2015-10-05,false,,,,http://www.p-garden.jp/care/helper.html,011-722-3337,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1120005005403,医療法人徳洲会,トクシュウカイ,大阪府,大阪市北区,大阪府大阪市北区梅田１丁目３番１－１２００号,medical,care|clinic,1975-01-09,false,45250,,理事長　東上　震一,https://www.tokushukai.or.jp/,0494-62-6300,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3430003011717,合同会社ｅｓｐｒｉｅ,エスプリエ,北海道,札幌市豊平区,北海道札幌市豊平区美園一条５丁目１番８号２０５号室,other,care|clinic,2020-07-10,false,,,,https://www.a-s-esprie.net/,011-816-5380,a-chan@a-s-esprie.net,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7430005001448,社会医療法人恵和会,ケイワカイ,北海道,札幌市豊平区,北海道札幌市豊平区西岡四条４丁目１番５２号,medical,care|clinic,2015-10-05,false,1045,,,http://www.keiwakai.jp/suigenchi/helper/index.php,011-867-0477,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3430005001988,医療法人社団北樹会病院,ホクジュカイビョウイン,北海道,札幌市豊平区,北海道札幌市豊平区月寒西五条８丁目４番３２号,medical,care|clinic,2015-10-05,false,,,,http://www.hokujyukai.jp/,011-856-1111,,http://www.hokujyukai.jp/index.php/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
