# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2020001095705,株式会社ＭＫサービス,エムケイサービス,神奈川県,横浜市旭区,神奈川県横浜市旭区上川井町５７８番地３,service,care|restaurant|ec,2015-10-05,false,,,,https://mk-holdings.co.jp/company/companyoutline,045-306-5588,,http://mk-holdings.co.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2450002004514,有限会社不二通販,,北海道,旭川市,北海道旭川市秋月二条１丁目５番２号,other,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
3450002008423,中古車流通販売有限会社,チュウコシャリュウツウハンバイ,北海道,旭川市,北海道旭川市大雪通８丁目５０９番地の２,retail,ec,2018-06-29,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-18
4430001064138,株式会社札幌いいもの通販,サッポロイイモノツウハン,北海道,札幌市東区,北海道札幌市東区北三十七条東１２丁目４番１３号,other,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-03
5430002031706,有限会社えびすや電子通販,,北海道,札幌市手稲区,北海道札幌市手稲区西宮の沢二条４丁目２６８番地８,other,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
6430001058294,株式会社太平流通販売,タイヘイリュウツウハンバイ,北海道,札幌市東区,北海道札幌市東区北三十四条東４丁目３番１号,retail,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-19
7460001005400,株式会社道新南大通販売所,ドウシンミナミオオドオリハンバイショ,北海道,釧路市,北海道釧路市南大通３丁目２番１４号,retail,ec,2019-11-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-08
9430001040258,株式会社ツルハｅコマース,,北海道,札幌市東区,北海道札幌市東区北二十四条東２０丁目１番２１号,other,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-06-02
9430002012801,有限会社通販小熊,,北海道,札幌市豊平区,北海道札幌市豊平区旭町３丁目１番１２－７０１号,other,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
9460301004694,アースネットショップ株式会社,アースネットショップ,北海道,北見市,北海道北見市北進町４丁目３番４３号,it,retail|ec,2018-04-12,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-17
2370002006378,有限会社東北通販配送ライン,,宮城県,仙台市青葉区,宮城県仙台市青葉区中山吉成２丁目１２番１５号,logistics,ec|logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
4370001044682,丁子屋イーコマース株式会社,チョウジヤイーコマース,宮城県,仙台市宮城野区,宮城県仙台市宮城野区小田原１丁目１０番２５－８１２号,other,ec,2019-08-02,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-31
8370001012157,通販倶楽部株式会社,,宮城県,仙台市青葉区,宮城県仙台市青葉区一番町２丁目３番２０号,other,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
5410001010019,印刷通販サイト制作株式会社,インサツツウハンサイトセイサク,秋田県,秋田市,秋田県秋田市山王３丁目８－３４山王ツインビル,other,ec|advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-21
6390001014137,株式会社りんご苑通販,,山形県,東置賜郡高畠町,山形県東置賜郡高畠町大字高畠２１３０番地の３,other,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1380002027309,有限会社通販番長,,福島県,いわき市,福島県いわき市錦町上中田１３４番地,other,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-19
6380002007207,有限会社サンポート通販計画,サンポートツウハンケイカク,福島県,福島市,福島県福島市松浪町６番３０号グラン・ドムール松浪３１１号,other,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-05
1050002000892,有限会社関東通販,,茨城県,水戸市,茨城県水戸市桜川２丁目２番１５号,other,ec,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
