# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7420001001618,永沢食品工業株式会社,ナガサワショクヒンコウギョウ,青森県,青森市,青森県青森市大字三内字沢部２０３番地１８,construction,care|food-maker,2015-10-05,false,,,,http://shirayuki.hp.gogo.jp/,017-763-5578,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7021002065056,有限会社鈴木製茶,,神奈川県,横須賀市,神奈川県横須賀市佐野町３丁目３３番地,other,care|food-maker,2015-10-05,false,,,,,046-851-2176,,,国税庁 法人番号公表サイト,2015-11-06
8170001000702,株式会社河北食品,カホクショクヒン,和歌山県,和歌山市,和歌山県和歌山市栄谷１８４番１号,manufacturing,care|food-maker,2015-10-05,false,154,,,http://www.kahoku-w.com,073-456-3312,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8040001064479,株式会社清水食品サービス,シミズショクヒンサービス,千葉県,香取郡東庄町,千葉県香取郡東庄町石出４４番地,manufacturing,care|food-maker,2015-10-05,false,,,,https://healthrent.duskin.jp/,0478-79-6531,,,国税庁 法人番号公表サイト,2021-10-15
6120902021290,有限会社京田食品,,大阪府,豊中市,大阪府豊中市庄内栄町３丁目１１番３号,manufacturing,care|food-maker,2015-10-05,false,,,,,06-6331-8887,,,国税庁 法人番号公表サイト,2015-11-20
8230001003228,ムーライズ株式会社,ムーライズ,富山県,富山市,富山県富山市大泉１５２３番地,other,care|food-maker,2015-10-05,false,,,,,076-429-8866,,,国税庁 法人番号公表サイト,2025-02-06
5480001007693,大西食品株式会社,オオニシショクヒン,徳島県,三好市,徳島県三好市井川町吉岡１３５番地１,manufacturing,care|food-maker,2015-10-05,false,,,,,0883－78－2822,,,国税庁 法人番号公表サイト,2019-11-29
5050001026935,袋田食品株式会社,フクロダショクヒン,茨城県,久慈郡大子町,茨城県久慈郡大子町大字袋田字下圷２２４７番地の５,manufacturing,care|food-maker,2015-10-05,false,,,,https://sekisyo-no-yu.com/?fbclid=IwAR2dJ4SpHClbXbmHmXEmCmfBy-UdWqWHBg7hCXeJyCKO2GS1x8AqpuXp1x8,0295-79-1126,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140002018190,有限会社川壱食品,,北海道,札幌市東区,北海道札幌市東区北八条東１丁目３－１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001007693,島川製菓株式会社,シマカワセイカ,北海道,札幌市白石区,北海道札幌市白石区東札幌二条２丁目１番５号,other,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-16
1430001009987,タケダ製菓株式会社,タケダセイカ,北海道,札幌市北区,北海道札幌市北区新琴似十二条６丁目８番２号,other,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-17
1430001012223,中村食品産業株式会社,ナカムラショクヒンサンギョウ,北海道,札幌市西区,北海道札幌市西区八軒八条西４丁目１番９号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001013411,株式会社八王食品,,北海道,札幌市豊平区,北海道札幌市豊平区月寒東一条１９丁目２番５１－５０３号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-24
1430001013444,株式会社八星食品,,北海道,札幌市白石区,北海道札幌市白石区菊水上町三条２丁目５２番１９２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001018427,鱗幸食品株式会社,リンコウショクヒン,北海道,札幌市西区,北海道札幌市西区八軒一条東５丁目２番１６号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001019961,札幌三幸食品株式会社,,北海道,札幌市東区,北海道札幌市東区北二十条東１４丁目４番２５号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-01-26
1430001020052,株式会社札幌食品,サッポロショクヒン,北海道,札幌市中央区,北海道札幌市中央区南十七条西９丁目１番２号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-25
1430001021364,藤美食品株式会社,,北海道,札幌市白石区,北海道札幌市白石区菊水元町三条２丁目１番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001022957,加藤製菓株式会社,,北海道,札幌市白石区,北海道札幌市白石区流通センター１丁目７番２６号,other,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001033574,北海広島食品株式会社,ホッカイヒロシマショクヒン,北海道,北広島市,北海道北広島市大曲６４６番地８,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-29
1430001034804,一真食品株式会社,,北海道,札幌市豊平区,北海道札幌市豊平区福住一条８丁目５番１９号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001037195,德陽食品株式会社,トクヨウショクヒン,北海道,札幌市豊平区,北海道札幌市豊平区西岡五条１１丁目１０番１５号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-11
1430001038508,株式会社利尻天狗食品,,北海道,札幌市東区,北海道札幌市東区北十条東８丁目２番６号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001040273,株式会社立松食品,タテマツショクヒン,北海道,札幌市西区,北海道札幌市西区八軒四条西２丁目２番２１号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-19
1430001042427,雉子谷食品株式会社,キジタニショクヒン,北海道,江別市,北海道江別市高砂町２４番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-27
1430001042641,マルイ食品株式会社,マルイショクヒン,北海道,江別市,北海道江別市角山７２番地２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-05
1430001043929,株式会社ベーカリーハウスピーコック,ベーカリーハウスピーコック,北海道,恵庭市,北海道恵庭市恵み野西６丁目２１番５,realestate,food-maker|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-04
1430001047260,株式会社北沢食品工場,キタザワショクヒンコウジョウ,北海道,夕張市,北海道夕張市南清水沢２丁目２１番地,manufacturing,food-maker|manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-11
1430001048234,共栄食品株式会社,,北海道,滝川市,北海道滝川市栄町３丁目４番４号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-09-05
1430001048721,マルワ食品株式会社,,北海道,芦別市,北海道芦別市北四条西２丁目１６番地６,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-20
1430001049892,木村製菓株式会社,キムラセイカ,北海道,小樽市,北海道小樽市新光５丁目１２番１１号,other,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-16
1430001049918,ぎょれん総合食品株式会社,ギョレンソウゴウショクヒン,北海道,小樽市,北海道小樽市銭函５丁目６０番４号,manufacturing,food-maker,2015-10-05,false,209,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001050669,株式会社わたらい食品店,,北海道,小樽市,北海道小樽市富岡１丁目１４番３号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001053903,まるばん斉藤食品株式会社,,北海道,苫小牧市,北海道苫小牧市矢代町３丁目１番２６号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-26
1430001060668,竹田食品株式会社,,北海道,幌泉郡えりも町,北海道幌泉郡えりも町字庶野６７１番地の２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-24
1430001064603,株式会社かねとく食品,,北海道,札幌市中央区,北海道札幌市中央区北一条東１丁目６番３－１４０５号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-02-22
1430001068637,サザエ食品株式会社,サザエショクヒン,北海道,札幌市中央区,北海道札幌市中央区宮の森四条１丁目１番３５号,manufacturing,food-maker,2015-10-05,false,335,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001078289,峯農産食品株式会社,ミネノウサンショクヒン,北海道,岩見沢市,北海道岩見沢市双葉町１１０番地４,manufacturing,food-maker,2019-02-07,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001078388,札幌乳業株式会社,サッポロニュウギョウ,北海道,札幌市中央区,北海道札幌市中央区北二条西２３丁目２番１号,other,food-maker,2019-02-27,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-04
1430001080872,チェットベーカリー株式会社,チェットベーカリー,北海道,札幌市豊平区,北海道札幌市豊平区月寒東二条１９丁目２０番５０号,other,food-maker,2020-02-14,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-14
1430001081458,株式会社夜のすすきの製菓,ヨルノススキノセイカ,北海道,札幌市白石区,北海道札幌市白石区本通１８丁目北２番１０号,other,food-maker,2020-05-19,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-19
1430001086894,松坂食品株式会社,マツサカショクヒン,北海道,札幌市東区,北海道札幌市東区北四十九条東８丁目３番１号,manufacturing,food-maker,2022-06-21,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-09
