# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4420002019579,株式会社北日本機械,キタニホンキカイ,青森県,むつ市,青森県むつ市大字田名部字小平舘１番地７３,other,care|manufacturing,1987-01-26,false,,,代表取締役　山道　直寿,http://www.nemunoki.info/,0175-33-8818,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7010001008844,株式会社日立製作所,ヒタチセイサクショ,東京都,千代田区,東京都千代田区丸の内１丁目６番６号,manufacturing,care|manufacturing,1920-02-01,false,35631,466666000000,執行役社長兼CEO　德永　俊昭,http://www.hitachi.co.jp,0294-23-7952,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7030001073572,株式会社安藤製作所,アンドウセイサクショ,埼玉県,川口市,埼玉県川口市原町３番３４号,manufacturing,care|manufacturing,2015-10-05,false,,,,,048-253-3033,,,国税庁 法人番号公表サイト,2020-10-19
4010701000475,朝日眞空機械株式会社,アサヒシンクウキカイ,東京都,品川区,東京都品川区西大井６丁目１４番４号,other,care|manufacturing,2015-10-05,false,,,,,03-3775-0220,,,国税庁 法人番号公表サイト,2018-09-21
3020002097897,株式会社大師金属商事,ダイシキンゾクショウジ,神奈川県,川崎市川崎区,神奈川県川崎市川崎区本町１丁目８番地２３,retail,care|manufacturing|wholesale,2015-10-05,false,,,,,044-589-4151,,,国税庁 法人番号公表サイト,2024-08-16
3021001022409,株式会社エスティサービス,エスティサービス,神奈川県,秦野市,神奈川県秦野市平沢１５５５番地,service,care|beauty|clinic|realestate|manufacturing|agriculture,2015-10-05,false,,,,http://www.st-service.co.jp/,042-795-7770,,https://forms.gle/UD9ixerebeFFtb6s9,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3080401012030,株式会社小林鉄工所,コバヤシテッコウジョ,静岡県,浜松市中央区,静岡県浜松市中央区北寺島町２１５番地の２９,other,care|manufacturing,2015-10-05,false,,,,http://te10te.site/,053－523－7580,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3190001027863,株式会社未来予想図製作所,ミライヨソウズセイサクショ,三重県,四日市市,三重県四日市市高角町２５８２番地,manufacturing,care|manufacturing,2020-12-04,false,,,,https://mirai-seisaku.co.jp/,0599-20-0658,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3120902018752,有限会社鈴木製作所,スズキセイサクショ,大阪府,豊中市,大阪府豊中市小曽根１丁目４番１０－１０５号,manufacturing,care|manufacturing,2015-10-05,false,,,,http://buumekun.com,0663199585,,http://buumekun.com/#area08,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4120001152295,株式会社シンコー製作所,,大阪府,枚方市,大阪府枚方市船橋本町２丁目５８番１号,manufacturing,care|manufacturing,2015-10-05,false,,,,,072-808-8774,,,国税庁 法人番号公表サイト,2015-11-20
5120102024509,有限会社中野スプリング製作所,ナカノスプリングセイサクショ,大阪府,泉佐野市,大阪府泉佐野市葵町２丁目２番４４号,manufacturing,care|manufacturing,2015-10-05,false,,,,,072-463-5827,,,国税庁 法人番号公表サイト,2021-03-22
5480001004666,四国部品株式会社,シコクブヒン,徳島県,阿波市,徳島県阿波市市場町市場字岸ノ下２３２番地１,other,care|manufacturing,2015-10-05,false,364,,,,0887-37-9666,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3310001006268,長崎部品株式会社,ナガサキブヒン,長崎県,東彼杵郡東彼杵町,長崎県東彼杵郡東彼杵町三根郷字東舞山２８６番地５,other,care|manufacturing,2015-10-05,false,240,,,,0957-47-1240,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5320001008880,大分部品株式会社,オオイタブヒン,大分県,佐伯市,大分県佐伯市大字堅田２１５５番地,other,care|manufacturing,2015-10-05,false,212,,,himawari@oit-p.co.jp,０９７４－６４－８０２２,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5350001006196,宮崎部品株式会社,ミヤザキブヒン,宮崎県,東臼杵郡門川町,宮崎県東臼杵郡門川町大字門川尾末７４７０番地,other,care|manufacturing,2015-10-05,false,312,,,,0982-45-3968,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4011702003723,有限会社久留米製作所,,東京都,江戸川区,東京都江戸川区平井７丁目８番１３号,manufacturing,care|manufacturing,2015-10-05,false,,,,,03-3613-3525,,,国税庁 法人番号公表サイト,2015-10-28
1250002004675,有限会社小串機械製作所,,山口県,宇部市,山口県宇部市大字東須恵３８９４番地の１０,manufacturing,care|manufacturing,2015-10-05,false,,,,,0836-37-0233,,,国税庁 法人番号公表サイト,2015-11-20
8410002013397,有限会社伊藤製作所,イトウセイサクショ,秋田県,横手市,秋田県横手市雄物川町造山字十足馬場１１５番地１,manufacturing,care|manufacturing,2015-10-05,false,17,,,,0182-22-5504,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3050001030971,株式会社友伸金属,ユウシンキンゾク,茨城県,牛久市,茨城県牛久市さくら台４丁目１１番地１,manufacturing,care|manufacturing,2015-10-05,false,28,,,,0297-44-7531,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4070001011705,株式会社栄光製作所,エイコウセイサクショ,群馬県,富岡市,群馬県富岡市神農原１１０９番地の２,manufacturing,care|manufacturing,2015-10-05,false,,,,http://nijitotaiyoh.com/,0274-40-3478,,http://nijitotaiyoh.com/pages/3/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
9030001082992,株式会社高木製作所,タカギセイサクショ,埼玉県,川口市,埼玉県川口市東領家２丁目３６番１８号,manufacturing,care|manufacturing,2015-10-05,false,,,,http://ponopono-fit.com/,048-291-8253,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
3090001009946,羽田精密株式会社,ハダセイミツ,山梨県,富士吉田市,山梨県富士吉田市上吉田東９丁目１７番１号,manufacturing,care|manufacturing,2015-10-05,false,,,,http://tsukushian.com/,0555-25-7522,,,国税庁 法人番号公表サイト,2019-11-11
7180003002738,合資会社東谷籐品製作所,アズマヤトウヒンセイサクショ,愛知県,名古屋市熱田区,愛知県名古屋市熱田区花表町１５番１６号,manufacturing,care|manufacturing,2015-10-05,false,30,,,https://www.azumaya-info.com,052-883-8953,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180301007023,豊生鉄工株式会社,ホウショウテッコウ,愛知県,豊橋市,愛知県豊橋市菰口町５丁目１０１番地,other,care|manufacturing,2015-10-05,false,34,,,http://,0532-35-7068,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2130001041012,株式会社衣川鉄工所,キヌガワテッコウショ,京都府,福知山市,京都府福知山市和久市町２３２番地,other,care|manufacturing,2015-10-05,false,,,,https://kashinfu-osada.jp/,0797-26-7112,,,国税庁 法人番号公表サイト,2023-05-11
4800016004666,四国部品株式会社,,高知県,安田町,高知県安芸郡安田町西島７２－１,medical,care|manufacturing,,false,,,,,0887-38-5546,,,介護サービス情報公表システム（厚生労働省）,2026-07-02
8390001004425,株式会社多田木工製作所,タダモッコウセイサクジョ,山形県,天童市,山形県天童市糠塚２丁目１番１号,manufacturing,care|manufacturing,1969-05-01,false,,,代表取締役　多田　順一,http://www.wel-land.com/,023-653-5829,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1380001003013,株式会社みうら製作所,ミウラセイサクショ,福島県,伊達郡川俣町,福島県伊達郡川俣町字瓦町４６番地の３,manufacturing,care|manufacturing,2015-10-05,false,,,,,024-565-3416,,,国税庁 法人番号公表サイト,2021-11-18
8380002021040,有限会社曲山自動車整備工場,マガリヤマジドウシャセイビコウジョウ,福島県,石川郡石川町,福島県石川郡石川町字下泉６４番地,manufacturing,care|manufacturing|auto,2015-10-05,false,,,,,0247-26-3752,,,国税庁 法人番号公表サイト,2025-12-10
3030001063486,株式会社赤土製作所,アカドセイサクショ,埼玉県,越谷市,埼玉県越谷市大字増林３６１０番地,manufacturing,care|manufacturing,2015-10-05,false,,,,http://hp.kaipoke.biz/h42/57053/index_0005.html,048-965-6611,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6180001041516,株式会社八神製作所,ヤガミセイサクショ,愛知県,名古屋市中区,愛知県名古屋市中区千代田２丁目１６番３０号,manufacturing,care|manufacturing,1945-07-09,false,1189,,代表取締役　荒木　篤志,http://www.yagami.co.jp/yhhc/,052-251-6670,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6110002034038,有限会社須田義肢製作所,スダギシセイサクジョ,新潟県,魚沼市,新潟県魚沼市大石４４番地１,manufacturing,care|manufacturing,2015-10-05,false,,,,http://www.sudagishi.com/,025-794-5112,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2230001005782,株式会社富山県義肢製作所,トヤマケンギシセイサクショ,富山県,富山市,富山県富山市泉町１丁目２番１６号,manufacturing,care|manufacturing,2015-10-05,false,,,,https://www.tpo-morita.com/,076-425-4279,,,国税庁 法人番号公表サイト,2020-07-31
6210001004394,山崎金属株式会社,ヤマザキキンゾク,福井県,福井市,福井県福井市宝永２丁目１１番３号,manufacturing,care|manufacturing,2015-10-05,false,119,,,http://yamazaki-kinzoku.jp/,0776-54-2288,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
9100001003818,株式会社麻屋家具製作所,アサヤカグセイサクジョ,長野県,長野市,長野県長野市信州新町新町６９８番地,manufacturing,care|manufacturing,2015-10-05,false,,,,http://asaya-smile.com,026-262-2073,,,国税庁 法人番号公表サイト,2018-10-03
2100001005911,株式会社中外製作所,チュウガイセイサクショ,長野県,須坂市,長野県須坂市大字井上１７００番地２１,manufacturing,care|manufacturing,2015-10-05,false,,,,,026-285-0811,,,国税庁 法人番号公表サイト,2023-08-30
